reference,name,active,entityId,locationDesc
PR-0003,Río Camuy Cave State Park,1,202,PR-PR
PR-0008,Centro Vacacional Lago Caonillas State Park,1,202,PR-PR
PR-0009,Centro Vacacional Punta Santiago State Park,1,202,PR-PR
PR-0010,Centro Vacacional Villas de Anasco State Park,1,202,PR-PR
PR-0011,Centro Vacacional Boqueron State Park,1,202,PR-PR
PR-0012,Centro Vacacional Monte del Estado State Park,1,202,PR-PR
PR-0013,Parque Monte del Estado State Park,1,202,PR-PR
US-0577,Clinch River State Park,1,291,US-VA
US-0629,Tomlinson Run State Park,1,291,US-WV
US-0631,Cathedral State Park,1,291,US-WV
US-0634,Little Talbot State Park,1,291,US-FL
US-0635,St. George State Park,1,291,US-FL
US-0636,Jekyll Island State Park,1,291,US-GA
US-0978,Apple River Canyon State Park,1,291,US-IL
US-0979,Argyle Lake State Park,1,291,US-IL
US-0980,Beall Woods State Park,1,291,US-IL
US-0981,Beaver Dam State Park,1,291,US-IL
US-0982,Buffalo Rock State Park,1,291,US-IL
US-0983,Campbell's Island State Park,1,291,US-IL
US-0984,Castle Rock State Park,1,291,US-IL
US-0985,Cave-In-Rock State Park,1,291,US-IL
US-0986,Chain-O-Lakes State Park,1,291,US-IL
US-0987,Channahon State Park,1,291,US-IL
US-0988,Delabar State Park,1,291,US-IL
US-0989,Dixon Springs State Park,1,291,US-IL
US-0990,Donnelley/DePue State Park,1,291,US-IL
US-0991,Eldon Hazlet State Park,1,291,US-IL
US-0992,Ferne Clyffe State Park,1,291,US-IL
US-0993,Fort Massac State Park,1,291,US-IL
US-0994,Fox Ridge State Park,1,291,US-IL
US-0995,Gebhard Woods State Park,1,291,US-IL
US-0996,Giant City State Park,1,291,US-IL
US-0997,Hennepin Canal Parkway State Park,1,291,US-IL
US-0998,Horseshoe Lake State Park,1,291,US-IL
US-0999,Illini State Park,1,291,US-IL
US-1000,Illinois Beach State Park,1,291,US-IL
US-1001,James Pate Philip State Park,1,291,US-IL
US-1002,Johnson Sauk Trail State Park,1,291,US-IL
US-1003,Jubilee College State Park,1,291,US-IL
US-1004,Kankakee River State Park,1,291,US-IL
US-1005,Lake Le-Aqua-Na State Park,1,291,US-IL
US-1006,Lake Murphysboro State Park,1,291,US-IL
US-1007,Lincoln Trail State Park,1,291,US-IL
US-1008,Lowden State Park,1,291,US-IL
US-1009,Matthiessen State Park,1,291,US-IL
US-1010,Mississippi Palisades State Park,1,291,US-IL
