Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.30863416655661,-79.49953278283489,0,0,0.0,380,1247,4,167,packed_gravel,0,0.0
40.30856611906477,-79.4995425225487,8,25,0.00473483935366805,380,1247,3,238,packed_gravel,0,0.0
40.30849807157334,-79.49955226226243,15,50,0.009469678735241759,380,1247,2,268,packed_gravel,0,0.0
40.308432472389875,-79.49954429043206,23,74,0.014026655151544117,380,1247,1,206,packed_gravel,0,0.0
40.30837136160967,-79.49950384861512,30,99,0.018761494204457285,379,1243,1,148,packed_gravel,0,-7.24
40.30830945992618,-79.4994659131851,38,124,0.023487764962449358,379,1243,2,170,packed_gravel,0,-5.14
40.30824542336375,-79.49943453670906,45,149,0.028216311592131015,379,1243,3,139,packed_gravel,0,-2.0
40.30818100147953,-79.49940868796352,53,174,0.03287633968266626,379,1243,3,110,Forest,0,-0.25
40.30811262608606,-79.49940445281284,61,199,0.03761117908181353,378,1240,2,109,Forest,0,-1.92
40.3080441920702,-79.49940473844316,68,224,0.04234482444827368,378,1240,3,120,Forest,0,-6.18
40.30797814271997,-79.49942737625491,76,249,0.04706696813666846,378,1240,4,107,Forest,0,-2.77
40.30791045741394,-79.4994399971145,83,273,0.05179589481118933,378,1240,4,109,Forest,18,-0.1
40.30784216329299,-79.49944608290774,91,298,0.056530734210058685,378,1240,4,107,Forest,18,-1.08
40.30778763729109,-79.49939490328292,98,323,0.061168937636001966,377,1237,3,102,Forest,18,-5.26
40.307745789676815,-79.499325023911,106,348,0.06585567466890167,377,1237,3,99,Forest,18,-7.5
40.30771614344004,-79.49924411681894,114,373,0.07059048587923925,376,1234,4,105,Forest,0,-11.16
40.30769678918681,-79.49916275593796,121,396,0.07508608527988792,376,1234,4,111,Forest,0,-4.41
40.30772210956102,-79.49907962591838,128,421,0.07980788098644752,376,1234,4,122,Forest,0,-0.87
40.30775480778304,-79.49900177062767,136,446,0.08449624154093181,375,1230,4,119,Forest,0,-8.18
40.30777332198881,-79.49891536118763,144,471,0.08923067290553635,374,1227,5,121,Forest,24,-11.87
40.307780389026,-79.49882819978917,151,496,0.0938541891358094,374,1227,8,120,Forest,24,-14.55
40.30777653641408,-79.49873997228792,159,520,0.09851564976285401,373,1224,8,123,Forest,24,-12.07
40.30779141383968,-79.49865245095484,166,545,0.10324554276845375,372,1220,7,134,Forest,24,-2.52
40.30780610031249,-79.4985648712847,174,570,0.10797558395763757,372,1220,6,155,Forest,60,-2.79
40.307839138650536,-79.49849149065474,181,594,0.11247055328565886,372,1220,6,153,Forest,60,6.58
40.3078939001992,-79.49843767508884,189,619,0.11720406518344387,372,1220,6,135,Forest,60,3.65
40.30794652500608,-79.4983809859141,196,644,0.12191488240420412,372,1220,5,114,packed_gravel,40,-4.4
40.307996928015385,-79.49832194924309,204,668,0.12658954109256026,372,1220,5,92,packed_gravel,40,-4.28
40.30805957442133,-79.49828788412405,211,693,0.13128060899145852,371,1217,6,68,packed_gravel,40,-5.76
40.30812622802116,-79.49826796043308,219,718,0.1360093386197463,371,1217,6,67,packed_gravel,72,-4.84
40.308190347839414,-79.49824588879805,226,742,0.1405948031360023,371,1217,7,76,packed_gravel,72,-0.52
40.30825787725218,-79.4982569120801,234,767,0.14530190326455042,371,1217,7,88,packed_gravel,32,-2.58
40.308321757140604,-79.49822579581195,241,792,0.1500155027481097,371,1217,6,100,packed_gravel,32,-0.66
40.30838257305945,-79.49818522871857,249,817,0.1547351353175744,370,1214,5,116,packed_gravel,32,0.21
40.30844426556642,-79.4981481184584,257,842,0.15942998729020041,370,1214,5,111,packed_gravel,32,-3.44
40.30850414474941,-79.49810751012971,264,866,0.16409295709588106,370,1214,7,101,packed_gravel,23,-3.42
40.30857119299678,-79.49808942690507,272,891,0.16882779651189153,370,1214,7,89,packed_gravel,23,-2.7
40.308638901282244,-79.49807643549835,279,916,0.17356108611388235,370,1214,9,76,packed_gravel,23,-4.96
40.30870550902135,-79.49805588701226,287,941,0.17829415906668503,369,1211,10,66,packed_gravel,23,-11.4
40.30877221765187,-79.4980357593683,295,966,0.18302899847006293,368,1207,11,66,Forest,41,-10.88
40.308839907744655,-79.49802246076521,302,991,0.18776341630947888,368,1207,9,72,Forest,41,-9.24
40.30890764223735,-79.49800950140383,310,1016,0.1924982548699363,367,1204,8,68,Forest,41,-6.89
40.3089758934296,-79.49800269330274,317,1041,0.19723286862334213,366,1201,8,56,Forest,41,-10.62
40.30904425169554,-79.498006817627,325,1066,0.20196625221151376,366,1201,8,49,packed_gravel,39,-9.41
40.309110470603116,-79.49802869904755,333,1091,0.20668983243558747,365,1198,9,56,packed_gravel,39,-7.72
40.30917833512185,-79.49803318546202,340,1116,0.21139002246190716,364,1194,10,56,packed_gravel,39,-4.24
40.309243347232055,-79.49806128206154,348,1141,0.21612486191433494,364,1194,9,55,packed_gravel,39,-3.79
40.30931077600681,-79.49807409981214,355,1166,0.22083769835269,364,1194,9,59,packed_gravel,32,-3.26
40.30937843290168,-79.49808731479521,363,1191,0.2255691925998454,364,1194,10,64,packed_gravel,32,-2.65
40.30944560795858,-79.49810452408522,371,1216,0.23030356738092703,363,1191,11,71,packed_gravel,32,-2.43
40.3095137941012,-79.49810897984368,378,1241,0.23502589542734564,363,1191,11,79,packed_gravel,29,-7.0
40.30957865698984,-79.49808173737591,386,1266,0.23973699405497395,362,1188,12,87,packed_gravel,29,-10.69
40.30963124206326,-79.49802955199729,393,1290,0.24429847354970627,362,1188,12,124,packed_gravel,29,-4.01
40.30967536164336,-79.49796092506956,401,1315,0.24903309147311636,362,1188,10,158,packed_gravel,29,9.07
40.30973215866499,-79.4979122253877,408,1340,0.25372702417074006,362,1188,8,157,Forest,64,5.84
40.30976312955305,-79.49784034889939,415,1363,0.2580816594656134,362,1188,8,137,Forest,64,-4.17
40.30975989352601,-79.49775073971726,423,1388,0.26281353608318686,362,1188,8,119,Forest,64,-12.41
40.309725966010696,-79.49768504450958,430,1410,0.26699863037618726,361,1184,8,115,Forest,64,-15.63
40.309658830633346,-79.49767493417606,437,1434,0.2716729447662058,360,1181,9,124,Forest,64,-10.32
40.30969208169852,-79.49760004440512,445,1459,0.2762439345056641,360,1181,11,121,Forest,64,-1.04
40.30974827142181,-79.49754878637343,452,1484,0.280978507827453,360,1181,13,157,Forest,78,4.4
40.309806747876806,-79.49750253752316,460,1509,0.2857020476158417,360,1181,10,140,packed_gravel,64,7.28
40.309867983727585,-79.49746272779699,467,1533,0.2904296887084186,360,1181,11,135,packed_gravel,64,6.44
40.30992535847021,-79.49741390539405,475,1558,0.29516063484296806,361,1184,9,143,packed_gravel,64,5.98
40.30998310538167,-79.49736579405169,483,1583,0.299892977717213,361,1184,8,152,packed_gravel,64,5.77
40.310008534418074,-79.49728572894759,490,1608,0.30446778337628305,361,1184,14,145,packed_gravel,64,0.91
40.310052496756725,-79.49721760033276,498,1632,0.3091752876131216,362,1188,15,134,packed_gravel,73,-1.2
40.310107828294264,-79.49716858410225,505,1657,0.3137940293539015,362,1188,15,133,packed_gravel,73,8.66
40.31017305697937,-79.49714547634682,513,1682,0.3184676676168958,362,1188,16,134,packed_gravel,73,4.24
40.31021804273483,-79.49708577402245,520,1705,0.3228947762998411,362,1188,16,129,packed_gravel,73,-5.19
40.310251989606414,-79.49701068370959,527,1729,0.32749923931064945,362,1188,19,124,packed_gravel,73,-6.1
40.31030545391165,-79.49695553532861,535,1754,0.3322043299611336,362,1188,15,125,packed_gravel,50,0.12
40.31036580318741,-79.4969206896591,542,1778,0.33676544016466653,362,1188,13,125,packed_gravel,50,10.25
40.31043414186054,-79.49692584437624,550,1803,0.34150027956466095,363,1191,10,121,packed_gravel,50,8.89
40.31049375378632,-79.49688193133895,557,1828,0.3462296904339085,363,1191,11,126,Forest,73,6.78
40.31055556718091,-79.49684336823209,565,1853,0.3509645298487576,364,1194,12,123,Forest,73,10.55
40.3106237333222,-79.49683904432518,572,1878,0.35568513480118097,364,1194,14,123,packed_gravel,52,0.26
40.310675909217366,-79.49678574989905,580,1902,0.36025976322805486,364,1194,14,122,packed_gravel,52,-2.19
40.31072565703352,-79.49672409578493,587,1927,0.36499437754532005,364,1194,13,127,packed_gravel,52,-4.1
40.31077425034558,-79.49666100450312,595,1952,0.3697242949807511,364,1194,14,122,packed_gravel,52,-9.79
40.31081970554831,-79.49659388653751,603,1977,0.3744591347855459,363,1191,10,115,packed_gravel,33,-5.72
40.310871230432625,-79.49653582306004,610,2002,0.3791582488729451,363,1191,9,122,packed_gravel,33,-3.61
40.310930377638286,-79.49649093888293,618,2027,0.38388509902135387,363,1191,9,125,packed_gravel,33,1.98
40.31098957334824,-79.49644731211963,625,2052,0.38858200572628065,363,1191,11,136,packed_gravel,33,1.88
40.31102667795942,-79.49637190838392,633,2077,0.3933154424912861,363,1191,10,132,packed_gravel,33,-6.55
40.31102621215108,-79.4963175266609,638,2092,0.3961840205467158,362,1188,8,137,packed_gravel,33,-8.36
40.310960731510235,-79.4963238534401,645,2116,0.40072563205573863,362,1188,10,136,packed_gravel,33,-18.92
40.31090355856455,-79.49632377456135,651,2137,0.4046803207435547,361,1184,14,148,packed_gravel,33,-18.35
40.31085752635472,-79.49632757773786,656,2154,0.40787070877467324,360,1181,14,174,packed_gravel,33,-2.52
40.310806350940936,-79.49637263537485,663,2176,0.41213435121386144,360,1181,14,173,packed_gravel,75,-5.53
40.31073890711523,-79.49638248211924,671,2201,0.4168283028229647,359,1178,11,180,packed_gravel,75,-4.91
40.31068205097961,-79.49642430227424,678,2225,0.4213374523555579,359,1178,11,144,packed_gravel,75,-5.46
40.31061770480106,-79.49644059750747,685,2249,0.42587054574868505,358,1175,10,216,packed_gravel,75,-6.49
40.31056670439108,-79.49649914307726,693,2273,0.4305589217547376,358,1175,10,206,packed_gravel,75,-0.37
40.310513328276485,-79.49654084132563,700,2296,0.4348564461627998,358,1175,9,227,packed_gravel,79,-1.34
40.31044586472474,-79.4965536111442,707,2321,0.4395712997077508,358,1175,8,184,packed_gravel,79,-4.03
40.31038316266469,-79.4965787416908,715,2345,0.44410647581509416,358,1175,10,112,Forest,73,-0.02
40.31035247889094,-79.4966372916927,721,2365,0.44785376185492565,358,1175,10,138,Forest,73,-2.04
40.31030825719104,-79.49670521129839,728,2390,0.45256447309327946,357,1171,11,173,Forest,73,-8.42
40.3102613661141,-79.49677060657788,736,2415,0.45729926061127846,357,1171,14,175,Forest,82,-4.51
40.31021938193404,-79.49684139094627,744,2440,0.4620293193044899,356,1168,17,165,Forest,82,-5.29
40.31016214790935,-79.4968793311708,751,2463,0.46646528602324494,356,1168,14,189,Forest,82,-1.84
40.31009589920238,-79.49686545805288,758,2487,0.4711058061520356,356,1168,10,279,Forest,82,6.64
40.31003375258588,-79.49683165828172,766,2512,0.47575955814234444,357,1171,9,289,Forest,82,7.95
40.30997476327566,-79.49679465717917,773,2536,0.48028262042943004,357,1171,7,269,Forest,85,4.09
40.309906440045225,-79.49678920541129,781,2561,0.4850173193005247,357,1171,10,254,Forest,85,1.68
40.309838350278966,-79.49678037249106,788,2586,0.4897501168989394,358,1175,16,269,Forest,85,5.4
40.30977019474085,-79.49677277661343,796,2611,0.4944814703631771,358,1175,20,282,Forest,84,1.66
