Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.274199094854566,-79.53045299867085,96,313,0.059369166922001525,328,1076,9,353,Forest,24,-8.96
40.27423114368031,-79.53053093846765,103,338,0.06404174202434212,327,1073,11,350,Forest,24,-10.89
40.27424442368137,-79.53061802031715,111,363,0.06872833270026522,327,1073,8,353,Forest,0,-4.48
40.27423249949896,-79.53070357252219,118,387,0.0733180131065474,327,1073,8,353,Forest,0,-4.98
40.274255483063975,-79.53078095128073,125,410,0.0777001709699117,327,1073,7,351,Forest,0,2.15
40.274227447267606,-79.5308613664672,133,435,0.08236611423038669,327,1073,9,172,Forest,0,1.62
40.27422887084316,-79.53094910063865,140,459,0.0869972740342171,327,1073,9,5,Forest,24,3.68
40.27421730938927,-79.53103368545855,147,483,0.09153225109243933,328,1076,10,42,Forest,24,14.44
40.27418232802061,-79.53110867899716,155,508,0.09617105862771365,328,1076,10,32,Forest,24,15.9
40.27411660170503,-79.53112514259614,162,532,0.1007996665639908,329,1079,8,120,Forest,61,15.63
40.27405280624888,-79.53109261850747,170,557,0.10553450592052299,331,1086,9,350,Forest,61,20.84
40.273991754529646,-79.53112341248112,177,581,0.11005939916758578,331,1086,11,348,Forest,61,2.28
40.27398317809273,-79.53121074557934,185,606,0.1147063841155249,332,1089,11,337,Forest,61,-5.53
40.273992341966434,-79.53129952871407,192,631,0.11943455375708759,331,1086,10,319,Forest,77,-16.9
40.2740276345548,-79.53137640283947,200,656,0.1241693931734066,330,1083,9,317,Forest,77,-13.84
40.27402090429141,-79.53146535441417,207,681,0.12888679471645545,330,1083,11,267,Forest,77,2.97
40.27401157570866,-79.53155422710554,215,706,0.13362118541698972,330,1083,14,27,Forest,77,15.15
40.27400084420926,-79.53164282926032,223,731,0.138355674577598,331,1086,14,40,Forest,72,19.42
40.273975711584356,-79.53172337229495,230,755,0.14294805332831556,332,1089,13,91,Forest,72,14.39
40.273931438821734,-79.53179166117413,238,780,0.14767735911498195,334,1096,14,355,Forest,72,23.16
40.273873367756224,-79.53180747750062,244,801,0.15177997862037776,335,1099,14,354,Forest,81,18.74
40.27383915484127,-79.53173980669054,251,824,0.1560642113121757,336,1102,14,154,Forest,81,11.98
40.273817434301826,-79.53165855137108,258,848,0.16060801076880768,338,1109,16,5,Forest,81,27.46
40.273752340811555,-79.53166366009006,266,872,0.16511863089803328,339,1112,17,131,Forest,81,24.4
40.2737058043363,-79.53172945512519,273,897,0.16985346423004943,341,1119,17,357,Forest,81,22.61
40.273660601157225,-79.53179678196958,281,922,0.17458647367779997,343,1125,17,354,Forest,81,26.47
40.27359737067232,-79.53179286126301,288,945,0.17896505546599156,345,1132,15,351,Forest,84,26.35
40.27353065350386,-79.53180391278886,296,969,0.18361663160630368,346,1135,12,348,Forest,84,21.18
40.273497489436714,-79.53175555834983,301,988,0.18704803536833345,347,1138,12,350,Forest,84,10.4
40.27348345442893,-79.53166863343586,309,1012,0.19173708790354485,348,1142,11,350,Forest,84,11.2
40.273448328469385,-79.53159162893898,316,1037,0.19647192718181064,349,1145,11,350,Forest,84,14.42
40.27340612446124,-79.53152156691884,324,1062,0.20118296017210685,350,1148,10,348,Forest,85,9.39
40.27337625168867,-79.5314408436792,331,1087,0.20591779926056464,351,1152,10,354,Forest,85,7.84
40.2733360765813,-79.53136927822699,339,1112,0.2106068522107505,352,1155,9,356,Forest,85,8.97
40.27328470161178,-79.53131229596957,346,1137,0.2152621544773516,353,1158,9,161,Forest,85,17.5
40.27322338229648,-79.5312725144261,354,1162,0.21999481340127908,354,1161,10,3,Forest,85,17.49
40.273163284000454,-79.53122960090013,362,1187,0.22472874515508864,355,1165,9,10,Forest,85,14.88
40.27310174391056,-79.53119031898467,369,1212,0.22946349239975847,356,1168,10,14,Forest,84,16.45
40.273038979650565,-79.53115729625604,377,1236,0.23414167590694282,358,1175,13,14,Forest,84,22.33
40.27297205143074,-79.53115477330428,384,1261,0.23877305487540232,359,1178,16,18,Forest,84,29.45
40.27291962231735,-79.5311989380399,391,1283,0.2430840356666022,361,1184,16,18,Forest,84,27.41
40.27285164721752,-79.53118904559638,399,1308,0.24781480946093018,363,1191,13,17,Forest,84,24.12
40.272785192513496,-79.53118460004934,406,1333,0.2524175041659771,364,1194,8,155,Forest,85,16.6
40.27275445188103,-79.53123541576937,412,1351,0.2558400081886922,365,1198,5,335,Forest,84,-2.94
40.27275964326246,-79.53132323771433,419,1375,0.26048874375437064,365,1198,4,348,Forest,84,-7.16
40.272745213082665,-79.53141060375248,427,1400,0.2652063315048492,365,1198,4,324,Forest,84,-5.26
40.27274698889748,-79.53149878502637,434,1425,0.2698617626487427,365,1198,4,315,Forest,84,-3.18
40.27275372178771,-79.53158778750182,442,1450,0.27458194332540126,364,1194,4,317,Forest,85,-6.63
40.2727464429301,-79.53167693739496,450,1475,0.27931373538785587,364,1194,4,312,Forest,85,-6.79
40.27275847838371,-79.5317629778809,457,1499,0.2839302472167113,363,1191,4,309,Forest,85,-8.91
40.27277849845794,-79.53184825229475,465,1524,0.28863888325484277,363,1191,5,309,Forest,85,-8.85
40.272788445825725,-79.53193677733654,472,1549,0.2933612294424617,362,1188,4,308,Forest,84,-7.23
40.27278688615067,-79.53202642910992,480,1574,0.29809387303455903,361,1184,4,306,Forest,84,-10.11
40.272776285372245,-79.5321147139226,487,1599,0.3028104916374279,361,1184,4,302,Forest,84,-5.88
40.27277752486252,-79.53219926034555,495,1622,0.3072732925412706,361,1184,4,299,Forest,84,-1.34
40.27278945598339,-79.53228465377384,502,1647,0.3118549120792114,360,1181,4,298,Forest,82,-6.29
40.27280637647285,-79.53236951480726,509,1671,0.31648389814697364,360,1181,4,300,Forest,82,-10.98
40.272808769123905,-79.53245902302919,517,1696,0.3212106328584882,359,1178,4,300,Forest,82,-6.76
40.27281063781608,-79.53254862608259,525,1721,0.3259412401438857,358,1175,5,294,Forest,82,-9.95
40.2728167971564,-79.53263795380762,532,1746,0.33067476261318945,358,1175,4,290,Forest,84,-4.72
40.27282640179229,-79.53272500559181,540,1770,0.3353167457658519,357,1171,5,289,Forest,84,-7.91
40.272861403082274,-79.53280193395196,547,1795,0.3400437462586224,357,1171,5,298,Forest,84,-11.5
40.272891518811015,-79.53288171297314,555,1820,0.3447412572340871,356,1168,5,302,Forest,84,-13.22
40.2728913567343,-79.53297101444616,562,1845,0.3494541898668889,355,1165,5,307,Forest,84,-6.91
40.27287512279945,-79.53305786260974,570,1870,0.3541731835752168,354,1161,5,303,Forest,84,-9.15
40.27290652487242,-79.5331320112316,577,1894,0.35864882022706734,354,1161,6,307,Forest,84,-9.37
40.2729550558452,-79.53319498584767,585,1919,0.3633726521012559,353,1158,7,321,Forest,84,-13.6
40.27298358912836,-79.5332764263757,592,1944,0.36810219579474635,352,1155,7,323,Forest,84,-7.73
40.272999391580754,-79.53336266166934,600,1968,0.37278271346356323,352,1155,5,326,Forest,82,-5.25
40.272996619444086,-79.533452088375,608,1993,0.3775061282493993,351,1152,3,317,Forest,82,-6.58
40.272968575962466,-79.53353244201293,615,2018,0.3821694102496704,351,1152,3,268,Forest,82,-2.34
40.27294215132592,-79.53361490595452,623,2043,0.3868897199405304,350,1148,4,225,Forest,82,0.07
40.27294281387064,-79.5337033173953,630,2067,0.39155588898308735,350,1148,4,227,Forest,80,1.09
40.27299843313487,-79.53374954411599,637,2091,0.3961114214783507,350,1148,4,285,Forest,80,-6.3
40.27305444456108,-79.53379888709502,645,2116,0.4007795923101043,350,1148,5,325,Forest,80,-7.95
40.2730632525822,-79.53387375958461,651,2137,0.4047777004598849,349,1145,4,331,Forest,80,-4.84
40.27303143142821,-79.5339527605753,659,2162,0.40949234072363544,349,1145,4,316,Forest,80,-4.62
40.272996484665846,-79.53402912664183,667,2187,0.41419192845427655,349,1145,3,315,Forest,78,-3.12
40.27296777880369,-79.53411003360584,674,2212,0.4189009172195708,349,1145,3,314,Forest,78,-0.9
40.272971011130565,-79.53418517284081,681,2233,0.4228727124100185,348,1142,3,311,Forest,78,-6.36
40.273004454634005,-79.53426304287117,688,2258,0.42758867699275754,348,1142,3,322,Forest,78,-4.62
40.27298907184022,-79.53434252693711,695,2281,0.43191631870205494,348,1142,3,319,Forest,72,-2.29
40.272947153278295,-79.53441299355069,703,2305,0.4366319828218982,348,1142,4,318,Forest,72,-0.23
40.27290969332704,-79.53448769482219,710,2330,0.44134964601913357,347,1138,3,313,Forest,72,-3.28
40.27288774414673,-79.53457145382895,718,2355,0.44602351995306594,347,1138,3,307,Forest,72,-5.23
40.27286399978097,-79.53465445501206,725,2380,0.45070172440854955,347,1138,5,306,Forest,72,-1.63
40.272812256924475,-79.53468863791912,732,2401,0.454709756480799,347,1138,5,310,Forest,74,-1.77
40.2728011580765,-79.53474966205667,737,2418,0.4580205714062678,347,1138,5,309,Forest,74,-1.02
40.272809326646566,-79.53483853986734,745,2443,0.4627450465725481,346,1135,4,309,Forest,74,-4.5
40.27280450954041,-79.53492747353563,752,2468,0.4674503731834961,346,1135,4,306,Forest,74,-7.66
40.27278531983494,-79.53501278330563,760,2493,0.472144226301257,345,1132,4,307,Forest,81,-7.99
40.272764125818235,-79.53509714972313,767,2518,0.476831839783243,345,1132,4,308,Forest,81,-6.24
40.27274911559893,-79.53518347716218,775,2542,0.4815046207696915,345,1132,5,308,Forest,81,-3.45
40.272710548123115,-79.53525733552041,783,2567,0.48622802328875026,344,1129,4,307,Forest,81,-2.65
40.272685030004716,-79.53534056403278,790,2592,0.49096184023901435,344,1129,4,307,Forest,81,-4.05
40.2726626872801,-79.53542535225715,798,2617,0.4956959494815071,344,1129,6,311,Forest,83,-4.25
40.27264143801462,-79.53551058066415,805,2642,0.5004279877262354,343,1125,5,304,Forest,83,-4.02
40.272623123094846,-79.53559676172677,813,2667,0.5051493805503396,343,1125,5,298,Forest,83,-6.37
40.272608708860105,-79.53568446652099,821,2692,0.5098842198473162,343,1125,5,298,Forest,83,-5.46
40.272580643684485,-79.53576568965488,828,2717,0.5145899113071588,342,1122,4,301,Forest,81,-7.12
40.27254625429905,-79.53584325203006,836,2742,0.519324288848517,342,1122,4,301,Forest,81,-4.17
40.27252058148453,-79.53592541806138,843,2767,0.5240101777007586,341,1119,5,305,Forest,81,-3.62
40.272499870965774,-79.53601070474788,851,2792,0.5287337135583187,341,1119,5,300,Forest,81,-7.18
40.27247183090657,-79.5360922115082,859,2817,0.5334523364462156,341,1119,6,302,Forest,83,-4.22
40.272436119017115,-79.53616866357734,866,2842,0.538183263162146,340,1115,7,311,Forest,83,-9.57
40.27243161636422,-79.5362534321779,873,2865,0.5426678168340169,340,1115,8,320,Forest,83,-6.16
40.272433924418806,-79.53634173842785,881,2890,0.5473309781713699,339,1112,8,322,Forest,83,-6.95
40.27241828650773,-79.53642761459282,888,2915,0.5519904504275384,339,1112,8,324,Forest,83,-2.71
40.27237208916396,-79.5364913847912,896,2939,0.5566313488562844,338,1109,7,322,Forest,83,-7.93
40.27236210785311,-79.53658006257642,903,2964,0.5613620408615616,338,1109,8,326,Forest,83,-5.14
40.27236512295849,-79.53666969162352,911,2989,0.5660968803282965,337,1106,9,332,Forest,83,-7.4
40.272351592460474,-79.53675235912263,918,3013,0.5705589799444256,337,1106,9,338,Forest,85,1.99
