Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.41844432851963,-78.38712805478976,0,0,0.0,372,1220,7,211,packed_gravel,26,-2.83
40.41850205331147,-78.38717637764512,8,25,0.004734840293600832,372,1220,2,179,packed_gravel,26,-1.41
40.41855977811047,-78.38722470050648,15,50,0.009469680000825313,372,1220,0,120,packed_gravel,26,0.0
40.418617221990054,-78.38722640760862,22,71,0.013444124003139187,371,1217,1,91,packed_gravel,0,0.47
40.41867435717383,-78.38717689044935,29,96,0.018178964103898125,371,1217,0,146,packed_gravel,0,1.39
40.418731492364955,-78.3871273732837,37,121,0.02291380359468893,372,1220,2,204,packed_gravel,0,1.93
40.418795911248495,-78.38709849567365,44,146,0.0276220527196243,372,1220,4,226,packed_gravel,0,4.47
40.41886160445126,-78.38707322905721,52,171,0.03235689214321388,372,1220,4,234,Forest,34,5.23
40.418927409694206,-78.38709152863532,60,195,0.037009573915421624,372,1220,6,246,Forest,34,2.73
40.41897961830474,-78.3871444274571,67,219,0.041570462909514674,372,1220,6,259,Forest,34,-6.75
40.41901821794083,-78.38721845144886,75,244,0.04629535231655444,372,1220,4,299,Forest,34,-4.2
40.41905487496971,-78.38729438386582,82,269,0.051030193602031385,372,1220,6,172,Forest,39,-1.83
40.41909153200571,-78.38737031629753,90,294,0.05576503396724688,372,1220,6,262,Forest,39,3.99
40.419128189048834,-78.387446248744,97,319,0.06049987341246197,372,1220,11,183,Forest,77,2.09
40.4191257357026,-78.38753528594799,105,344,0.06519173926250958,372,1220,9,121,Forest,77,2.97
40.41912124978988,-78.3876250042024,113,369,0.06992657861831286,372,1220,9,170,Forest,42,1.85
40.41912676322808,-78.38771425066673,120,394,0.07464184233689435,372,1220,9,231,Forest,42,-4.99
40.419136138413826,-78.38780331493136,128,419,0.07937668187046705,372,1220,8,197,Forest,42,-4.0
40.41915753581702,-78.38788759721763,135,444,0.08405535313089912,372,1220,5,111,Forest,42,-0.97
40.41918735328001,-78.38796853033146,143,469,0.08879019317651378,372,1220,6,133,Forest,74,-1.08
40.41922066085185,-78.38804647586194,150,494,0.09349725906558433,372,1220,5,152,Forest,74,4.05
40.41926499091121,-78.38811498595368,158,519,0.09823209907043814,372,1220,7,165,Forest,74,0.6
40.419309320983906,-78.38818349606603,166,544,0.1029669386887145,372,1220,6,176,Forest,74,8.11
40.4193716571626,-78.38819262040533,173,567,0.10730545891477593,372,1220,12,247,Forest,74,-3.32
40.419439246362785,-78.38820136454527,180,591,0.1120032659556873,371,1217,22,291,Forest,78,-30.51
40.41950666539883,-78.38821692278435,188,616,0.11673810536371382,369,1211,30,308,Forest,78,-38.18
40.41957485073327,-78.38821657182918,195,641,0.12145456152278536,367,1204,29,308,Forest,78,-38.5
40.41964322499955,-78.38821229843754,203,666,0.1261894009253529,364,1194,28,310,Forest,85,-37.64
40.419710262893915,-78.38819789484243,211,691,0.13088807807382413,361,1184,28,312,Forest,85,-31.55
40.41977574552933,-78.38817170178827,218,716,0.1356229177852214,359,1178,28,314,Forest,85,-28.24
40.41984122816745,-78.38814550873303,226,741,0.14035775730098451,357,1171,29,317,Forest,85,-21.88
40.419902216287845,-78.38810778371216,233,766,0.145020707843809,356,1168,29,313,Forest,81,-7.66
40.419956680431014,-78.38805331956898,241,791,0.1497555482802071,355,1165,27,306,Forest,81,0.85
40.420011144582276,-78.38799885541772,249,816,0.1544903880134394,355,1165,28,311,Forest,81,3.9
40.420058270346196,-78.38793491531482,256,840,0.15917687750697398,355,1165,29,317,Forest,87,5.8
40.420098798180604,-78.38786245540638,264,865,0.1639117201346781,355,1165,29,317,Forest,87,3.73
40.420139326022934,-78.38778999548377,271,890,0.16864656183560678,356,1168,29,316,Forest,87,7.43
40.420179853873194,-78.387717535547,279,915,0.17338140261004875,356,1168,29,312,Forest,85,9.98
40.42022038173138,-78.38764507559604,287,940,0.1781162424586049,357,1171,29,310,Forest,85,12.63
40.42026762711401,-78.38758110267385,294,965,0.1828097236422848,358,1175,29,310,Forest,85,0.73
40.42032117515898,-78.3875250926498,302,990,0.18754457118139,358,1175,29,312,Forest,85,-5.69
40.42037472321223,-78.3874690826171,309,1015,0.19227941798898981,357,1171,30,315,Forest,85,-8.12
40.42042827127374,-78.38741307257575,317,1040,0.19701426406554876,357,1171,30,316,Forest,83,-8.42
40.42048181934352,-78.38735706252575,325,1065,0.20174910941068083,356,1168,30,315,Forest,83,-7.9
40.42053536742158,-78.38730105246711,332,1090,0.20648395402468725,356,1168,30,312,Forest,83,-7.28
40.4205889155079,-78.38724504239981,340,1115,0.21121879790726364,355,1165,30,309,Forest,85,-1.99
40.42064246360249,-78.38718903232386,348,1140,0.21595364105879292,355,1165,31,309,Forest,85,-0.28
40.42069601170535,-78.38713302223925,355,1165,0.2206884834792735,355,1165,32,310,Forest,86,-3.76
40.420749559816485,-78.387077012146,363,1190,0.22542332516870384,355,1165,32,311,Forest,86,-2.81
40.42080310793588,-78.3870210020441,370,1215,0.2301581661262317,354,1161,32,311,Forest,86,-6.88
40.42085665606355,-78.38696499193352,378,1240,0.23489300635317234,354,1161,31,310,Forest,86,-1.62
40.420910204199494,-78.38690898181432,386,1265,0.2396278458489763,354,1161,31,307,Forest,89,-2.77
40.42096375237054,-78.38685297165841,393,1290,0.2443626869852551,354,1161,31,308,Forest,89,0.44
40.4210173005528,-78.38679696149076,401,1315,0.24909752765127197,354,1161,29,310,Forest,89,-0.57
40.42107084874333,-78.38674095131447,409,1340,0.25383236758576133,353,1158,28,313,Forest,89,-3.13
40.421122827601245,-78.38668266540373,416,1365,0.2585596947766243,353,1158,28,314,Forest,89,-0.86
