Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.1055339016805,-79.57198264201458,0,0,0.0,313,1027,1,205,Asphalt,0,1.66
40.10554218553901,-79.57189380404482,8,25,0.004734839667734902,313,1027,2,209,Asphalt,0,1.67
40.105549726563,-79.57180494141548,15,50,0.009465032368703248,313,1027,1,219,Asphalt,0,0.59
40.105544900991696,-79.5717156683464,23,75,0.014199871252247174,313,1027,3,266,Asphalt,0,0.02
40.10554007542056,-79.57162639528046,30,100,0.01893471030341633,314,1030,4,303,Asphalt,0,1.69
40.1055352498496,-79.57153712221768,38,125,0.02366954952146069,314,1030,5,308,Asphalt,0,7.26
40.10553042427882,-79.57144784915805,46,150,0.02840438890634553,314,1030,7,299,Asphalt,0,3.82
40.10553914120747,-79.57135925266729,53,175,0.03313027576651467,315,1033,9,290,Asphalt,0,9.51
40.10554916361613,-79.57127072139079,61,200,0.03786511655688725,315,1033,9,227,Asphalt,0,5.61
40.105559186025516,-79.57118219010789,69,225,0.04259995700665659,315,1033,6,178,Asphalt,0,0.6
40.105569208435625,-79.57109365881861,76,250,0.04733479711507867,316,1037,7,143,Asphalt,0,-0.73
40.10557923084646,-79.57100512752295,84,275,0.05206963688215319,316,1037,8,116,Asphalt,0,-1.4
40.10558925325801,-79.57091659622093,91,300,0.056804476307064186,315,1033,6,95,Asphalt,0,-3.98
40.10559,-79.57082717228677,99,325,0.06153579582149533,315,1033,6,117,Asphalt,0,-1.99
40.10559,-79.57073767649139,107,350,0.06627063522137207,315,1033,6,236,Asphalt,0,-0.66
40.10559,-79.57064818069601,114,375,0.07100547462124882,315,1033,6,141,Asphalt,0,0.0
40.10559,-79.57055868490063,122,400,0.07574031402112555,315,1033,6,219,Asphalt,0,0.22
40.10559,-79.57046918910525,130,425,0.0804751534210023,315,1033,6,83,Asphalt,0,0.22
40.10559,-79.57037969330987,137,450,0.08520999282087903,315,1033,6,85,Asphalt,0,1.65
40.10559000000001,-79.5702901975145,145,475,0.08994483222075576,315,1033,7,173,Asphalt,0,2.85
40.10559000000001,-79.5702007017191,152,500,0.09467967162138434,315,1033,7,280,Asphalt,0,1.29
40.10559000000001,-79.57011120592372,160,525,0.09941451102126107,315,1033,7,160,Asphalt,0,-1.62
40.10559000000001,-79.57002171012834,168,550,0.1041493504211378,315,1033,7,178,Asphalt,0,-2.64
40.10559000000001,-79.56993221433297,175,575,0.10888418982101454,315,1033,8,160,Asphalt,0,-1.32
40.10559,-79.56984271853759,183,600,0.11361902922089127,315,1033,7,88,Asphalt,0,3.18
40.10562786281814,-79.56977131263187,190,624,0.11821584843378088,315,1033,1,87,Asphalt,0,-0.59
40.10567199780907,-79.56970290339595,198,649,0.1229506902328611,315,1033,3,64,Asphalt,0,-2.88
40.105716132808354,-79.56963449414705,205,674,0.12768553113444683,315,1033,4,89,Asphalt,20,-4.45
40.10576026781601,-79.56956608488518,213,699,0.13242037113916966,315,1033,8,106,Asphalt,20,-6.42
40.10579623244695,-79.56949195398872,221,724,0.1370647461686432,314,1030,10,102,Asphalt,0,-5.7
40.10581533071574,-79.56940601177912,228,749,0.1417995866813668,314,1030,11,129,Asphalt,0,-8.8
40.10583442898701,-79.56932006955842,236,774,0.14653442658058638,313,1027,7,145,Asphalt,0,-5.88
40.10586141754487,-79.56924290260724,243,797,0.1510235548534959,313,1027,5,142,Asphalt,0,-4.0
40.105923237584754,-79.5692044739338,251,822,0.15575839615736156,313,1027,7,92,Asphalt,0,1.61
40.10598505762982,-79.56916604525713,258,847,0.16049323706487745,313,1027,7,222,Asphalt,0,-0.51
40.10604687768007,-79.56912761657726,266,872,0.165228077575599,313,1027,7,203,Asphalt,0,2.18
40.10610869773549,-79.56908918789415,274,897,0.16996291768972746,313,1027,8,193,Asphalt,0,-0.09
40.1061705177961,-79.56905075920783,281,922,0.1746977574075042,313,1027,6,211,Asphalt,0,0.9
