Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.308653638594116,-79.53492524226482,0,0,0.0,307,1007,0,167,Asphalt,0,-2.66
40.30858846862678,-79.53489778200833,8,25,0.004734839339443685,306,1004,1,190,Asphalt,0,-5.32
40.30852416565985,-79.53486708282993,15,50,0.009468309302459812,306,1004,4,212,Asphalt,0,-3.56
40.30846956983875,-79.53488210453911,21,70,0.013326964557213182,306,1004,7,270,Asphalt,0,-2.38
40.30842571215752,-79.53495102375247,29,95,0.018061802393077066,306,1004,9,339,Asphalt,20,3.75
40.30838185448469,-79.53501994295263,37,120,0.02279664113449949,306,1004,7,324,Asphalt,0,5.86
40.308333088402044,-79.53508056974871,44,145,0.027444764514970518,306,1004,7,330,Asphalt,0,3.52
40.3082712961781,-79.53511918988869,52,170,0.032179603906304075,307,1007,6,312,Asphalt,0,5.2
40.30820416986772,-79.53510354246694,59,195,0.036895558400972125,307,1007,5,317,Asphalt,0,7.65
40.30814816248285,-79.53505517408877,67,219,0.04153426967418253,308,1010,4,324,Asphalt,0,9.39
40.3080951543685,-79.53499837968053,74,244,0.04626910860845918,308,1010,4,312,Asphalt,46,7.14
40.30805093158986,-79.53493254434215,82,269,0.05089689970015639,309,1014,4,304,Asphalt,46,8.33
40.30802146490654,-79.53485152358284,90,294,0.05563173877315619,309,1014,4,324,Asphalt,46,5.12
40.30801705045299,-79.53476594671736,97,318,0.06015605958654202,310,1017,5,334,Asphalt,46,2.62
40.30802859117487,-79.53467746816091,104,343,0.06489090116241139,310,1017,5,324,Asphalt,46,4.44
40.30804013189771,-79.53458898959711,112,368,0.06962574234550535,310,1017,5,323,Asphalt,42,3.49
40.30805167262151,-79.53450051102598,120,393,0.07436058313491892,311,1020,6,318,Asphalt,42,4.65
40.30806321334627,-79.5344120324475,127,418,0.07909542353155632,311,1020,7,319,Asphalt,42,4.22
40.30807475407199,-79.5343235538617,135,443,0.0838302635345126,312,1024,7,321,Asphalt,42,7.84
40.30808629479866,-79.53423507526854,143,468,0.08856510314460908,312,1024,8,319,Asphalt,20,6.83
40.30809783546931,-79.53414659664193,150,493,0.09329994305457734,312,1024,8,315,Asphalt,20,5.44
40.30810937607487,-79.5340581179819,158,518,0.09803478315721416,313,1027,9,312,Asphalt,20,7.13
40.308120916681375,-79.53396963931453,165,543,0.10276962286617598,313,1027,10,316,Asphalt,20,7.1
40.308125091826284,-79.53388200336305,173,567,0.10740124572559773,314,1030,12,320,Asphalt,20,11.9
40.308102040688276,-79.53379748252367,180,592,0.11213608506222823,315,1033,8,314,Asphalt,20,14.88
40.30803829221837,-79.53379219571923,188,615,0.11655441378218616,316,1037,9,325,Asphalt,20,11.96
40.3079894144159,-79.53385503860812,195,640,0.1212892480388492,317,1040,9,331,Asphalt,20,9.74
40.3079405366221,-79.53391788148585,203,665,0.12602408313429164,318,1043,11,332,Asphalt,20,8.52
40.30789165883697,-79.53398072435246,210,690,0.13075891907025977,318,1043,11,332,Asphalt,26,4.85
40.307842781060515,-79.53404356720792,218,715,0.13549375584552817,318,1043,9,333,Asphalt,26,1.3
40.30779390329272,-79.53410641005222,226,740,0.14022859346044583,319,1047,10,335,Asphalt,26,10.46
40.30774502553359,-79.53416925288538,233,765,0.14496343191518465,320,1050,7,329,Asphalt,26,8.32
40.30769614778314,-79.5342320957074,241,790,0.1496982712093917,322,1056,7,176,Asphalt,26,8.1
40.307650257419176,-79.53429866761931,249,815,0.15443186769893125,324,1063,7,84,Asphalt,38,6.95
40.307604796872404,-79.5343657760455,256,840,0.1591667009868742,325,1066,7,340,Asphalt,61,5.46
40.30755933633418,-79.53443288445908,264,865,0.16390153516573747,327,1073,7,329,Asphalt,61,3.06
40.30751387580451,-79.53449999286002,271,890,0.1686363702346321,327,1073,5,330,Asphalt,61,0.99
40.30746841528339,-79.53456710124834,279,915,0.17337120619444274,327,1073,4,239,Asphalt,61,-3.96
40.307422954770814,-79.53463420962404,287,940,0.17810604304516728,328,1076,3,207,Asphalt,61,-1.8
40.30737749426679,-79.53470131798711,294,965,0.18284088078624317,327,1073,5,159,Asphalt,48,-6.83
40.30733203377132,-79.53476842633756,302,990,0.18757571941790224,327,1073,4,158,Asphalt,48,-13.7
40.30728589692565,-79.53483466280376,309,1015,0.19230770008984804,326,1070,16,170,Asphalt,48,-20.17
40.30723459456671,-79.53488628376462,317,1039,0.19678062056460027,324,1063,27,131,Asphalt,48,-19.79
40.30717396965998,-79.53484460414123,324,1064,0.2015154592548195,324,1063,13,140,Asphalt,48,0.51
40.30711334475911,-79.53480292452188,332,1089,0.20625029840301057,324,1063,9,292,Asphalt,36,11.76
40.30705657818552,-79.53480623243222,338,1110,0.2101807509097157,324,1063,6,73,Asphalt,36,6.47
40.30700452767721,-79.53486452900152,346,1135,0.21491558772977923,324,1063,3,135,Asphalt,36,3.1
40.30695247717736,-79.53492282556135,353,1160,0.21965042531903003,324,1063,2,150,Asphalt,36,0.94
