Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
41.62049306139447,-81.41366315789683,0,0,0.0,192,630,0,137,packed_gravel,78,-1.01
41.6205577938795,-81.41369292944984,8,25,0.004734839646787539,191,627,2,108,packed_gravel,80,-2.03
41.620622547624464,-81.41372260975687,15,50,0.00946953796426037,191,627,2,26,packed_gravel,80,-7.74
41.620688449984854,-81.41374736587231,23,75,0.01420437345127088,191,627,5,138,packed_gravel,80,-3.7
41.62075407817524,-81.41377336590635,30,100,0.018938815311402776,191,627,2,129,packed_gravel,80,-1.14
41.620820974157375,-81.41376786329586,38,124,0.023574789926041874,190,623,1,61,packed_gravel,80,0.11
41.62088836660041,-81.41375181747608,46,149,0.02830962942942112,190,623,1,50,packed_gravel,80,0.49
41.62095575904453,-81.41373577165606,53,174,0.03304446885659249,190,623,1,113,packed_gravel,80,0.45
41.62102380193983,-81.41373208580666,61,199,0.03775489358213654,190,623,1,104,packed_gravel,85,-4.54
41.62109221023463,-81.41373534334451,68,224,0.04248973298669126,190,623,3,24,packed_gravel,85,-6.2
41.62116061852948,-81.41373860088237,76,249,0.0472245723883273,190,623,3,22,packed_gravel,85,-2.75
41.62122805775395,-81.41372828992186,84,274,0.0519197537676862,190,623,2,158,packed_gravel,88,-0.66
41.62129476741164,-81.41370776387333,91,299,0.05665459341837044,189,620,1,201,packed_gravel,88,0.25
41.62136147707106,-81.41368723782426,99,324,0.06138943294605918,190,623,1,177,packed_gravel,88,3.68
41.62142818673222,-81.4136667117747,106,349,0.0661242723502582,190,623,1,74,packed_gravel,88,-0.68
41.62149653727153,-81.41366293407543,114,374,0.0708561532734248,190,623,0,99,packed_gravel,87,2.51
41.62156088847421,-81.4136665154775,121,398,0.07531121468989034,190,623,1,86,packed_gravel,87,5.98
41.62157317234554,-81.41375659720066,129,423,0.08004605468802754,190,623,1,130,packed_gravel,80,1.09
41.621585456218014,-81.41384667893212,136,448,0.08478089424954031,190,623,2,172,packed_gravel,80,-4.47
41.62159,-81.41393769730402,144,473,0.08949778498379332,190,623,2,171,packed_gravel,80,-4.12
