Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.347256579754585,-79.5550576830731,0,0,0.0,362,1188,5,23,Grass,0,13.13
40.347189884921875,-79.55507705897604,8,25,0.004725048445038582,363,1191,8,238,Grass,0,12.83
40.347127400139634,-79.55511344706895,15,50,0.009453731805928709,364,1194,9,304,Grass,0,11.91
40.347069801213685,-79.55516155277692,23,75,0.014176528399802761,365,1198,8,303,Grass,0,11.37
40.34701293370347,-79.55521148149244,30,100,0.018909489581680525,366,1201,9,39,Grass,0,11.51
40.34696157361439,-79.55527085692184,38,125,0.023644328980399948,367,1204,10,2,Grass,0,17.5
40.34691023047619,-79.55533025753266,46,150,0.02837916813384103,368,1207,11,99,Grass,26,14.89
40.3468561372949,-79.55538515835157,53,175,0.033109561324425565,369,1211,12,327,Grass,26,12.75
40.3468185442741,-79.5554597819091,61,200,0.037825269073764003,370,1214,14,355,Grass,26,14.31
40.34677958756471,-79.55553363317068,68,225,0.04256010833893697,371,1217,15,148,Grass,26,14.53
40.34674359005628,-79.55560980806516,76,250,0.047285180734201585,372,1220,15,265,Grass,20,17.68
40.34670821794108,-79.55566621079657,82,270,0.051135847719122184,374,1227,15,355,Forest,20,22.87
40.346652515459326,-79.55561544207684,90,295,0.05582717922859954,376,1234,17,353,Forest,57,32.42
40.34658463555106,-79.5556039346891,97,320,0.06056150047183549,378,1240,21,347,Forest,26,40.2
40.34651708634923,-79.55560426045119,105,344,0.06523395031163373,381,1250,21,345,Forest,26,41.72
40.34645590281306,-79.5555865775101,112,367,0.06956750467225105,384,1260,20,344,Forest,26,35.54
40.346390054129444,-79.55557817152949,119,391,0.07414380367079029,386,1266,16,346,Forest,78,36.66
40.346325659290784,-79.55555055799563,127,416,0.0788298796394419,389,1276,15,349,Forest,78,30.45
40.34626286912878,-79.55551582129823,134,441,0.08354338689745011,391,1283,18,350,Forest,78,31.78
40.34620407631708,-79.55547297185805,142,466,0.08819539046586608,394,1293,19,353,Forest,78,31.64
40.346139547793165,-79.55547702678827,149,489,0.09266398271870054,396,1299,19,352,Forest,83,30.78
40.34607984438959,-79.55543311362365,157,514,0.09739831651890074,398,1306,20,349,Forest,83,34.21
40.34602138290664,-79.55538905357116,164,539,0.10206175912705417,401,1316,17,348,Forest,83,27.12
40.34595963187597,-79.55535403079182,172,563,0.10671508610335749,403,1322,12,185,Forest,83,22.04
40.34589756587665,-79.55531842029373,179,588,0.11140074739315985,405,1329,14,323,Forest,83,24.33
40.345830092948596,-79.55530379720747,187,613,0.11613112934078969,406,1332,16,351,Forest,84,31.23
