Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.281589409590524,-79.54829720614512,0,0,0.0,301,988,1,289,concrete,0,4.78
40.28164770698594,-79.54825017971385,8,25,0.004734839606818775,301,988,3,244,concrete,0,6.83
40.281699676826904,-79.54819268128844,15,50,0.009438910545610323,301,988,1,240,concrete,0,3.97
40.28174794848837,-79.54812906243305,23,75,0.014173750334017325,301,988,1,247,concrete,0,1.22
40.281804740043896,-79.54808262997805,30,99,0.018803535435947222,302,991,1,239,concrete,0,-0.13
40.281868696941544,-79.54805065152922,38,124,0.023538375108598634,302,991,1,271,concrete,0,-0.53
40.28193244272176,-79.5480181001053,45,149,0.02827046367003223,302,991,1,227,concrete,0,-0.49
40.281991311657634,-79.54797231315519,53,174,0.033005304152276066,302,991,1,277,concrete,0,-0.31
40.28205018060018,-79.54792652619989,61,199,0.0377401440974965,302,991,2,204,concrete,0,-0.15
40.28210904954939,-79.54788073923937,68,224,0.04247498350603515,302,991,1,233,concrete,0,-0.04
40.28212707889452,-79.54796539447257,76,249,0.047112899552251584,301,988,2,249,concrete,0,0.01
40.28208473480021,-79.5480252651998,83,272,0.0514210114934274,301,988,1,263,concrete,0,0.02
40.28202530832205,-79.5480624691678,90,296,0.055976321272022254,301,988,1,242,concrete,0,0.02
40.281957055017216,-79.54806929449828,98,321,0.06071116067068258,301,988,2,283,concrete,0,0.01
40.2819163554717,-79.5481372890566,105,345,0.0652717378866703,301,988,2,219,concrete,0,0.01
40.28185347703325,-79.54815807470953,112,368,0.06975724486738104,301,988,2,275,concrete,0,-1.03
40.281791459212464,-79.5481936051606,120,393,0.07443887491749177,301,988,2,256,concrete,0,-4.9
40.2817309307858,-79.54823550945599,127,418,0.07917371415786825,301,988,1,248,concrete,0,-5.1
40.28166615198024,-79.54826191976275,135,443,0.08386622686710199,301,988,3,242,concrete,0,-2.73
