Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.103940663854715,-79.58163508264401,0,0,0.0,313,1027,3,170,asphalt,0,-3.79
40.103884703748236,-79.58158354240885,8,25,0.004734839230655913,313,1027,3,189,asphalt,0,-2.18
40.1038310059237,-79.5815281174736,15,50,0.009467164143280707,312,1024,4,184,asphalt,0,0.66
40.10377811437901,-79.5814713080367,23,75,0.014202001045898291,312,1024,1,183,asphalt,0,-0.3
40.1037252228426,-79.58141449860871,30,100,0.018936838690174006,312,1024,3,173,asphalt,0,-1.4
40.10367233131448,-79.58135768918962,38,125,0.023671677075823957,312,1024,4,152,asphalt,0,1.52
40.10361943979464,-79.58130087977943,46,150,0.028406516202749005,312,1024,3,148,asphalt,0,0.82
40.10357486368254,-79.58123391675132,53,175,0.03310318902505597,312,1024,2,111,asphalt,0,-7.05
40.103541943794944,-79.58115930912784,61,199,0.03766018491640843,312,1024,3,82,asphalt,0,-4.2
40.10355777416845,-79.58107224207352,68,224,0.04239502438978867,312,1024,3,183,asphalt,0,-1.63
40.10360864801197,-79.58101675732269,76,248,0.04697766714814676,312,1024,3,190,asphalt,0,-0.18
40.10366525530352,-79.58096643973019,83,273,0.05171250935055949,311,1020,1,115,asphalt,0,0.35
40.10372186260252,-79.58091612213109,91,298,0.05644735093046182,311,1020,1,198,asphalt,32,0.41
40.10377846990896,-79.58086580452536,98,323,0.06118219188746235,311,1020,0,277,asphalt,32,0.29
40.10383507722285,-79.58081548691302,106,348,0.06591703222154355,311,1020,0,56,asphalt,32,0.16
40.10389168454418,-79.58076516929407,114,373,0.07065187193312691,311,1020,0,196,asphalt,32,0.06
40.1039429969075,-79.58070688445322,121,398,0.07535364204851769,311,1020,0,197,asphalt,21,0.01
40.10398900989596,-79.58064062574982,129,423,0.08008848490101621,312,1024,1,110,asphalt,44,-0.01
40.10403502289296,-79.58057436703415,137,448,0.08482332687583619,312,1024,1,71,asphalt,44,-0.02
40.10408103589849,-79.58050810830619,144,473,0.08955816797297551,312,1024,2,195,asphalt,44,-0.01
40.104127048912545,-79.58044184956594,152,498,0.09429300819265833,312,1024,1,76,asphalt,44,-0.01
40.10417274300019,-79.58037524546634,159,523,0.09902663222970316,312,1024,1,67,asphalt,44,0.0
40.10421396325019,-79.58030379703301,167,548,0.10376147398150337,312,1024,2,57,asphalt,47,0.0
40.104255183508144,-79.58023234858588,175,573,0.10849631481906759,311,1020,1,107,asphalt,47,0.0
40.104296403774065,-79.58016090012495,182,598,0.1132311547426896,311,1020,1,261,asphalt,47,0.0
40.10433512070951,-79.58008723846274,190,623,0.11795981364774964,311,1020,2,242,asphalt,47,0.0
40.1043704860149,-79.58001061363439,197,648,0.12269465482102075,311,1020,1,273,asphalt,47,0.0
40.10440585132703,-79.57993398879142,205,673,0.12742949509238505,311,1020,2,243,asphalt,45,0.0
40.104440940808374,-79.57985717757488,213,698,0.13216296723391252,311,1020,1,70,asphalt,45,0.0
40.104468288114866,-79.57977513565538,220,723,0.13689780785433728,312,1024,1,223,asphalt,35,0.0
40.104495635425984,-79.57969309372204,228,748,0.1416326476743542,312,1024,1,70,asphalt,35,0.0
40.10451955486526,-79.57960939182261,236,773,0.1463600135831906,312,1024,1,212,asphalt,0,0.0
40.10453968157961,-79.57952385328666,243,798,0.15109485712603477,312,1024,3,271,asphalt,0,0.0
40.10455980829668,-79.57943831473915,251,823,0.15582970002875576,312,1024,3,282,asphalt,0,0.0
40.10457993501646,-79.57935277618006,258,848,0.16056454229264527,311,1020,3,190,asphalt,0,-3.79
