Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
41.32866807226599,-81.03924660824846,0,0,0.0,290,951,12,105,Forest,45,26.95
41.328625329075145,-81.03931780795375,8,25,0.004734838838527819,293,961,12,51,Forest,45,23.4
41.32857993700796,-81.03938579527549,15,50,0.00946023515784371,294,965,15,58,Forest,45,24.23
41.328530692102376,-81.0394491101541,23,75,0.014195073318633771,296,971,15,67,Forest,64,25.0
41.328481447205775,-81.03951242502114,30,100,0.018929912342226195,298,978,15,73,Forest,73,15.96
41.328421381105585,-81.03954167908236,38,123,0.02335387145789854,299,981,17,90,Forest,73,6.69
41.32835296593609,-81.03954465365496,45,148,0.028088710852954685,300,984,20,69,Forest,73,14.03
41.32828455076663,-81.03954762822755,53,173,0.03282355025084903,301,988,18,44,Forest,73,25.5
41.32823992615015,-81.03956290399519,58,190,0.03601061404417984,302,991,15,54,Forest,73,11.04
41.32828890765187,-81.03962657994744,66,215,0.04074545417265703,303,994,22,67,Forest,73,14.92
41.328335615427335,-81.03969263471151,73,240,0.045458239303478476,304,997,22,174,Forest,73,17.08
41.32837047997984,-81.03977107995465,81,265,0.05019307976726328,306,1004,8,182,Forest,73,12.61
41.32840534453925,-81.03984952521333,88,290,0.054927919292909536,306,1004,8,150,Forest,86,3.73
41.32845355712118,-81.03991360876452,96,315,0.05963977488781841,306,1004,11,231,Forest,86,-2.48
41.32850382674502,-81.03997547907079,104,340,0.06437461489310208,306,1004,7,211,Forest,67,-3.22
41.328556846297396,-81.04003225185265,111,365,0.06908056397252245,307,1007,10,201,Forest,67,4.91
41.32861692252556,-81.04007594365495,119,390,0.07381540548520049,307,1007,12,195,Forest,67,0.89
41.32867699876009,-81.04011963546188,126,415,0.07855024649589926,306,1004,15,129,Forest,67,-12.26
41.32873707500098,-81.04016332727345,134,440,0.08328508700575687,306,1004,24,263,Forest,86,-15.7
41.32879715124824,-81.04020701908962,142,465,0.08801992701371116,304,997,33,193,Forest,85,-26.42
41.32885722750186,-81.04025071091044,149,490,0.09275476652039136,303,994,35,88,Forest,85,-18.0
41.328923300713626,-81.04027066014274,157,514,0.09744108548584313,302,991,38,263,Forest,85,-7.83
41.32898905229236,-81.04026154386145,164,539,0.10201374485685752,301,988,31,282,Forest,85,-9.99
41.32904780782087,-81.04021774022392,172,563,0.10667144390399091,300,984,17,156,Forest,70,-10.31
41.32907920912369,-81.04014088467365,179,587,0.11121613682396184,299,981,12,31,Forest,70,-10.52
41.32909579174955,-81.04005244400236,187,612,0.11595097636845493,299,981,12,131,Forest,56,1.62
41.32915108033813,-81.04003,193,633,0.11994906053666493,298,978,17,256,Forest,56,-10.76
41.329212461761195,-81.04006747268657,201,658,0.12461973963578567,297,974,21,53,Forest,56,-23.67
41.32927278386283,-81.04011055990202,208,683,0.12935457925649682,296,971,15,270,Forest,66,-19.36
41.32932758913721,-81.04016395586117,216,708,0.13405173752922672,295,968,7,247,Forest,66,0.32
41.32937785907456,-81.0402258265533,223,733,0.1387865778015249,295,968,10,129,Forest,66,13.99
41.329428129020854,-81.04028769725643,231,758,0.14352141723314302,296,971,9,103,Forest,66,12.03
