Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
41.32868417227237,-81.0392464520463,0,0,0.0,290,951,11,153,Forest,45,26.79
41.328636083400625,-81.03931132368191,8,25,0.004734838735623819,292,958,12,52,Forest,45,23.73
41.328587705928996,-81.03937580666272,15,50,0.009469421749611944,294,965,15,56,Forest,45,23.52
41.328538461022,-81.03943912154314,23,75,0.01420425977400737,296,971,14,63,Forest,45,25.69
41.328489216123984,-81.03950243641202,30,100,0.018939098661718175,298,978,15,75,Forest,64,18.54
41.32843217434371,-81.03954120981115,38,123,0.023369002019508943,299,981,16,85,Forest,73,6.94
41.32836375917421,-81.03954418438374,45,148,0.02810384141422108,300,984,20,80,Forest,73,11.91
41.328295344004744,-81.03954715895632,53,173,0.03283868081174732,301,988,18,43,Forest,73,18.08
41.328226933922,-81.0395497294637,60,198,0.037572530085355646,302,991,16,63,Forest,85,9.78
41.32815863206661,-81.03954370282939,68,223,0.04230736944354375,303,994,18,80,Forest,85,4.16
41.32809033021138,-81.03953767619511,76,248,0.04704220881254173,303,994,23,80,Forest,85,9.23
41.328022028356315,-81.03953164956084,83,273,0.05177704819190797,304,997,22,179,Forest,85,16.57
41.3279537265014,-81.03952562292659,91,298,0.05651188758262328,305,1001,20,235,Forest,88,14.54
41.32789225680924,-81.03950870972685,98,321,0.06085359420686896,306,1004,9,208,Forest,88,6.28
41.32787567535971,-81.03942027030486,106,346,0.0655884334125112,306,1004,6,46,Forest,82,-4.11
41.327838184255945,-81.03934757900792,113,370,0.07016903458117205,306,1004,13,84,Forest,82,-2.11
41.327789812095865,-81.03928308279448,121,395,0.07490387325695022,306,1004,12,134,Forest,82,-7.13
41.327739876484465,-81.0392211419239,128,420,0.07962429378468337,306,1004,13,42,Forest,82,-0.95
41.32768266935219,-81.03917108568317,136,445,0.08435913304595284,306,1004,13,17,Forest,88,0.13
41.32761737324372,-81.03916900364416,143,469,0.08887699812688903,306,1004,13,106,Forest,88,6.68
41.32755154022301,-81.03914403249838,151,494,0.09361183692317163,306,1004,9,31,Forest,88,9.66
41.32748570720481,-81.03911906135355,158,519,0.09834667589875028,307,1007,11,320,Forest,88,2.08
41.3274198741891,-81.03909409020966,166,544,0.10308151505389529,307,1007,10,148,Forest,88,5.17
41.32735404117588,-81.03906911906672,174,569,0.10781635438860648,307,1007,9,77,Forest,88,1.11
41.327286793740754,-81.03905382767725,181,594,0.11253522782428713,307,1007,7,79,Forest,88,-1.22
41.32721873264393,-81.03904410466342,189,619,0.1172700671549011,307,1007,7,100,Forest,88,-2.08
41.327150671547514,-81.03903438164964,196,644,0.12200490651313042,307,1007,7,107,Forest,89,-1.11
41.3270826104515,-81.03902465863592,204,669,0.12673974589995246,307,1007,8,20,Forest,89,2.29
41.32701799576461,-81.03899907415376,211,694,0.13140257585314188,307,1007,9,73,Forest,89,-0.04
41.3269565513741,-81.03895889897535,219,719,0.1361374140777831,307,1007,10,120,Forest,89,1.17
41.32689510698922,-81.03891872380062,227,744,0.14087225273611867,307,1007,6,239,Forest,89,0.53
41.326833662609964,-81.03887854862958,234,769,0.14560709182782255,307,1007,4,54,Forest,89,0.14
41.32677019036504,-81.03885,242,793,0.15024118371380457,308,1010,2,204,Forest,89,-0.04
41.326706087413996,-81.03882640863581,249,818,0.15484144295098326,308,1010,2,90,Forest,89,0.35
41.3266454158234,-81.03878420231192,257,843,0.1595762812962586,308,1010,3,44,Forest,86,2.12
41.32658474423886,-81.03874199599224,264,868,0.16431112011411522,308,1010,2,72,Forest,85,-1.39
41.32652407266037,-81.03869978967678,272,893,0.16904595940455241,308,1010,3,98,Forest,85,-0.91
41.32645783261859,-81.03868130543643,280,917,0.17372734343727678,308,1010,2,112,Forest,85,-0.43
41.3263899109247,-81.03866998515412,287,942,0.17846218277020232,308,1010,3,156,Forest,88,-0.13
41.326321989231374,-81.03865866487189,295,967,0.18319702214066366,307,1007,2,141,Forest,88,0.01
41.32625396995536,-81.03865123308037,302,992,0.18791776647940484,307,1007,3,165,Forest,88,0.06
41.32618563225546,-81.03865648982651,310,1017,0.19265260587346064,307,1007,4,68,Forest,88,0.05
41.32611966300598,-81.038673557996,318,1042,0.1973010712591626,307,1007,5,65,Forest,92,-0.1
41.32605845375026,-81.03871436416651,325,1067,0.20203591040028937,308,1010,5,82,Forest,92,5.49
41.32600673700679,-81.03876963137645,333,1091,0.2066226969316669,308,1010,4,104,Forest,91,6.18
41.325968181416975,-81.03884494849683,340,1116,0.21135753563211152,308,1010,4,122,Forest,91,6.02
41.32593655798759,-81.0389240940869,348,1141,0.21601443207635287,309,1014,4,131,Forest,91,6.43
41.32592376574957,-81.03901363975302,355,1166,0.22074927134442118,309,1014,3,119,Forest,91,3.67
41.32592817930729,-81.03910338963145,363,1190,0.2254212888827626,310,1017,2,139,Forest,91,5.46
41.325939770930844,-81.03919322471398,370,1215,0.23015612899661061,310,1017,3,146,Forest,90,6.08
41.3259513625554,-81.03928305980429,378,1240,0.2348909687019829,310,1017,2,164,Forest,90,2.26
41.32597182453435,-81.03936707988294,385,1264,0.239479130378953,310,1017,2,161,Forest,90,0.16
41.3260182216859,-81.03943409799074,393,1289,0.24421397040306814,311,1020,1,143,Forest,90,-0.57
41.32606952422761,-81.03949220264226,401,1314,0.24887255753365112,311,1020,1,113,Forest,90,-0.62
41.3261314900437,-81.03953093127731,408,1339,0.25360739902309276,311,1020,1,161,Forest,90,7.65
