Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.348100300582956,-79.69933871043966,0,0,0.0,333,1093,2,241,Forest,0,-17.06
40.34807576061337,-79.69942255697343,8,25,0.0047348364900961035,331,1086,14,237,Forest,0,-29.03
40.348051220647676,-79.69950640349391,15,50,0.009469673731078567,330,1083,14,235,Forest,17,-25.74
40.34802668068586,-79.69959025000111,23,75,0.01420451172329839,328,1076,14,239,Forest,17,-28.51
40.34800214072794,-79.69967409649499,30,100,0.018939350465003064,326,1070,10,235,Forest,17,-20.56
40.347987465065835,-79.69975412996233,37,123,0.023278855206621856,325,1066,10,233,Forest,17,-7.08
40.348042729547636,-79.69980712827254,45,148,0.02801369591759551,324,1063,11,243,Forest,59,-1.25
40.34809799403732,-79.69986012659031,53,173,0.03274853595295381,324,1063,13,243,Forest,59,-1.37
40.34815388947994,-79.69991141435634,60,198,0.03746643028546239,324,1063,13,244,Forest,59,6.63
40.3482198547565,-79.69993540172963,68,223,0.042201270060998136,324,1063,14,232,Forest,59,9.74
40.34828582003537,-79.69995938910377,76,248,0.046936109671964495,325,1066,12,233,Forest,61,2.26
40.34835178531654,-79.69998337647874,83,273,0.051670949117414024,325,1066,8,264,Forest,61,-5.02
40.34840681790672,-79.70003351207158,91,297,0.05630514486527973,324,1063,10,290,Forest,61,-9.18
40.34845768017757,-79.70009362202804,98,322,0.061039984616269576,323,1060,8,283,Forest,61,-18.75
40.348488546036215,-79.70016913970824,106,346,0.0655573687367134,323,1060,10,206,Forest,56,-12.94
40.34850377496021,-79.70025670602118,113,371,0.0702922086781942,322,1056,11,174,Forest,56,-1.48
40.348519003885826,-79.70034427234351,121,396,0.07502704811129053,322,1056,14,165,Forest,0,5.24
40.34850633259609,-79.7004320044235,128,421,0.07973428012861923,322,1056,17,155,Forest,56,8.77
40.34849170865079,-79.70051974809525,136,446,0.08446911947163865,322,1056,14,157,Forest,31,-2.96
40.34844475455151,-79.70058260810765,143,470,0.08910910083576373,322,1056,11,164,Forest,31,-8.4
40.34839352328652,-79.70064217608616,151,495,0.09384393984305649,322,1056,8,168,Forest,31,-4.02
40.348363016518945,-79.70071647646704,158,519,0.09829304538124209,321,1053,5,212,Forest,31,-9.36
40.34835296909758,-79.70080532077482,166,544,0.10302788433583411,320,1050,9,235,Forest,31,-14.44
40.348342921676945,-79.70089416507614,173,569,0.10776272363605627,320,1050,13,204,Forest,45,-9.79
40.34835557012909,-79.7009803342502,181,593,0.11238874306586007,319,1047,14,192,Forest,45,1.85
40.348377524280686,-79.70106540658765,188,618,0.11712358380346688,319,1047,14,192,Forest,45,1.67
40.34839947843548,-79.7011504789375,196,643,0.12185842384947165,319,1047,13,189,Forest,45,6.13
