Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.30448915867777,-79.54386472242047,0,0,0.0,331,1086,5,148,asphalt,15,-0.98
40.304539976692794,-79.54380458715245,8,25,0.00473484123909055,331,1086,6,142,asphalt,31,-4.39
40.3045907947164,-79.54374445187428,15,50,0.009469681678851856,331,1086,9,110,asphalt,31,-8.95
40.30464161274858,-79.54368431658595,23,75,0.014204521319144748,330,1083,9,109,asphalt,31,-10.33
40.30469097736816,-79.54362216108248,30,100,0.01893838688493808,330,1083,7,127,asphalt,31,1.21
40.30473526360176,-79.54355527697757,38,125,0.023610842290060313,330,1083,8,146,asphalt,36,-2.57
40.30476038319615,-79.54347178004556,46,150,0.028345682118532882,330,1083,7,161,asphalt,36,0.46
40.30477981405337,-79.54338616292105,53,175,0.03305777639396601,330,1083,5,161,asphalt,36,2.33
40.30479194046437,-79.54329782344489,61,200,0.03779261582660877,330,1083,5,163,asphalt,36,1.87
40.30479566873599,-79.54320825732273,68,225,0.0425243043528622,330,1083,5,175,asphalt,42,1.24
40.304798663746496,-79.54311858409811,76,250,0.047259143766721655,330,1083,5,187,asphalt,62,-0.45
40.30479214331593,-79.54302936259207,84,274,0.051987181961777006,330,1083,4,178,asphalt,42,-2.4
40.304777423578614,-79.5429417185364,91,299,0.056721235991970605,330,1083,5,190,asphalt,42,-3.95
40.30475454107,-79.54285729326674,99,324,0.06144761782029363,330,1083,7,193,asphalt,46,3.25
40.30472973103776,-79.54277363735935,107,349,0.06618245705732337,330,1083,5,209,asphalt,46,2.72
40.30473427951601,-79.5426863960493,114,374,0.07079522405371602,330,1083,5,195,asphalt,46,3.03
40.30474753495905,-79.54259833936254,122,399,0.07552988763896473,330,1083,5,183,asphalt,46,3.1
40.304761304107764,-79.54251041489924,129,424,0.08026472713890914,330,1083,4,190,asphalt,20,3.26
40.30477691052786,-79.54242302933179,137,449,0.08499907386916616,331,1086,5,187,asphalt,20,3.33
40.30479302285758,-79.54233579214863,144,474,0.08973391336701901,331,1086,4,171,asphalt,20,3.75
40.30481226871176,-79.54224967744702,152,499,0.0944675537665026,331,1086,4,167,asphalt,59,2.57
40.30483221955482,-79.54216381527644,160,524,0.09920239328407476,331,1086,3,164,asphalt,45,-1.88
40.30486754745114,-79.54208766679116,167,549,0.1039041633217867,331,1086,4,140,asphalt,45,0.82
40.30490595495372,-79.5420133746673,175,574,0.10863871514437165,331,1086,2,93,asphalt,45,-6.55
40.30494379878717,-79.54193878893187,182,599,0.1133643848423273,331,1086,3,238,asphalt,45,-3.94
40.30499972156491,-79.54188702618158,190,624,0.11809922438296792,331,1086,4,115,asphalt,45,-1.48
40.30505551112543,-79.54183501703571,198,649,0.12283405670177286,330,1083,3,35,asphalt,55,-5.86
40.3051156327096,-79.54179464319142,205,673,0.1275063242690688,330,1083,4,108,asphalt,49,-5.62
40.30518119747613,-79.54176885094193,213,698,0.13224116380934606,330,1083,5,145,asphalt,49,-5.37
40.305247470724446,-79.54175148422682,220,723,0.13691596376067453,329,1079,6,85,asphalt,49,-6.67
40.305315745889175,-79.5417579251523,228,748,0.14165080317100875,329,1079,6,103,asphalt,49,-3.22
40.30538404158844,-79.54176389562843,236,773,0.14638534377402035,328,1076,6,121,asphalt,47,-5.22
40.30545239315293,-79.54176314094858,243,798,0.1511134295493829,328,1076,5,73,asphalt,47,-6.12
40.30551921253364,-79.54175276666354,251,822,0.1557676500276361,327,1073,5,40,asphalt,47,-7.59
40.30556977461302,-79.54169226070793,258,847,0.16050248970272404,327,1073,5,70,asphalt,47,-9.49
40.30558032951231,-79.54161314889268,265,870,0.16473901039110372,326,1070,6,75,asphalt,47,-12.13
40.30557013862887,-79.54152438899273,273,895,0.16947384972267343,325,1066,10,74,asphalt,58,-9.42
40.30551840335369,-79.54147602835631,280,918,0.17386859466589505,325,1066,12,77,asphalt,58,-6.14
40.30545603959994,-79.54143968709369,287,943,0.1785891051891828,324,1063,9,78,asphalt,58,-1.93
40.30538875421729,-79.54142318866994,295,968,0.18332394452758788,324,1063,8,82,asphalt,58,1.51
40.30532378670203,-79.54139913580045,303,993,0.1879934668588954,324,1063,8,77,asphalt,58,-3.47
40.305266535929384,-79.54134993234288,310,1018,0.19272830620432618,324,1063,7,78,asphalt,0,-8.58
40.30522374037824,-79.54128043053535,318,1042,0.19744041624485092,323,1060,7,79,asphalt,0,-11.13
40.305182390959665,-79.54120889805691,325,1067,0.20217525551236415,322,1056,8,82,asphalt,0,-13.65
40.305168027781995,-79.54112255694696,333,1092,0.20683686608377091,321,1053,10,79,asphalt,0,-17.02
40.30516921378273,-79.54103884641266,340,1115,0.21125337412843248,320,1050,9,82,asphalt,0,-18.36
40.30521991935384,-79.54097939873576,348,1140,0.21595817001998568,319,1047,10,82,asphalt,0,-6.34
40.30528833826385,-79.54098217348982,355,1165,0.22069300942400402,319,1047,9,80,asphalt,0,-1.2
40.3053567571739,-79.5409849482439,363,1190,0.22542784882591876,319,1047,10,72,asphalt,65,1.36
40.3054251758839,-79.54098773137831,370,1215,0.230162688078697,318,1043,9,76,asphalt,65,0.34
40.30549359316255,-79.54099057446444,378,1240,0.23489752748075143,318,1043,7,89,asphalt,65,0.57
40.30556201044124,-79.54099341755058,386,1265,0.23963236688045064,318,1043,5,93,asphalt,65,-7.14
40.305603728553486,-79.54094090836504,392,1286,0.24363226093929963,317,1040,7,88,asphalt,45,-17.41
40.30558883660172,-79.54085329804057,400,1311,0.24836710033142334,317,1040,8,89,asphalt,45,-7.54
40.30552155188829,-79.54086068200651,407,1336,0.25303749410792664,316,1037,9,80,asphalt,65,-0.59
40.30545945818833,-79.54084331929192,414,1359,0.2574291182919317,316,1037,6,72,asphalt,54,0.87
40.305406846919006,-79.54078590510515,422,1384,0.2621636543855378,316,1037,4,63,asphalt,54,-4.71
40.305354738061155,-79.54072769978065,430,1409,0.26689848715944614,316,1037,4,70,asphalt,54,0.7
40.30529920255245,-79.54067746784436,437,1434,0.2715651399338643,316,1037,3,58,asphalt,50,-0.98
40.30523398172359,-79.5406502173876,445,1459,0.27629997926035377,316,1037,3,63,asphalt,50,5.32
40.30516688654629,-79.54064662257585,452,1483,0.2809448647558224,316,1037,3,74,asphalt,50,3.93
40.305098786566056,-79.54065570909287,460,1508,0.2856797041436874,316,1037,3,95,asphalt,50,1.67
40.30503290414711,-79.54064346698685,467,1533,0.2902823578492521,316,1037,3,95,asphalt,21,-1.9
40.304970184128486,-79.54060768468386,475,1558,0.29501356372570847,316,1037,2,100,asphalt,21,-7.32
40.30490857091345,-79.5405685777707,482,1583,0.2997484030945018,316,1037,4,116,asphalt,21,-10.93
40.30490214248671,-79.54048578511171,489,1606,0.30413832600336294,315,1033,4,98,asphalt,0,-7.33
40.304934768197015,-79.5404068770343,497,1631,0.30887316558785627,315,1033,6,95,asphalt,0,-4.88
40.304985906085896,-79.5403495951607,505,1655,0.3135252998608811,314,1030,6,91,asphalt,0,-6.47
40.30504193062422,-79.54029802193713,512,1680,0.31826013927146146,314,1030,6,90,asphalt,0,-7.55
40.305097703846286,-79.54024598245547,520,1705,0.3229949771250563,313,1027,7,97,asphalt,18,-6.88
40.30515874593854,-79.54020544258762,527,1730,0.32772795631587337,313,1027,6,101,asphalt,18,-6.34
40.30522012358446,-79.54016570368265,535,1755,0.3324627958505341,312,1024,7,86,asphalt,18,-5.66
40.30528291075561,-79.54013008494354,543,1780,0.3371948261720406,312,1024,5,78,asphalt,0,-3.33
40.30534670657454,-79.54009759028649,550,1805,0.34192883915922384,311,1020,6,65,asphalt,17,-2.95
40.305413832754994,-79.54009066098382,558,1830,0.34658636193000514,311,1020,6,68,asphalt,17,0.1
40.30548168256887,-79.54009973729242,565,1855,0.3513039314735473,311,1020,5,66,asphalt,17,2.18
40.305548370134204,-79.54011998365648,573,1880,0.35603877090219926,311,1020,4,80,asphalt,17,1.4
40.30561459559223,-79.54014148326283,581,1905,0.3607579244574586,311,1020,6,158,asphalt,28,-5.48
40.3056830351875,-79.54013980054943,588,1930,0.36549276385779683,311,1020,6,59,asphalt,28,-5.7
40.30572557356584,-79.5400743508263,596,1954,0.37002897474007346,311,1020,4,94,asphalt,28,-5.97
40.30569763354654,-79.53999361005262,603,1978,0.3747060049161182,310,1017,3,95,asphalt,28,-7.85
40.305645132338014,-79.5399418579126,610,2002,0.3792491881622501,310,1017,4,91,asphalt,28,-7.17
