Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.372297136695664,-79.38567292294888,0,0,0.0,333,1093,4,245,Forest,70,11.23
40.3722298108508,-79.38568915084498,8,25,0.004734836638317715,333,1093,8,297,Forest,70,12.37
40.372162485007024,-79.38570537874082,15,50,0.009469673354068833,334,1096,7,350,Forest,70,13.51
40.37209515916435,-79.38572160663638,23,75,0.014204510146499361,335,1099,8,53,Forest,70,16.76
40.372027833322775,-79.3857378345317,30,100,0.018939347016498406,337,1106,8,8,Forest,67,20.78
40.3719605074823,-79.38575406242674,38,125,0.023674183963311977,338,1109,10,8,Forest,67,17.39
40.37189318164292,-79.38577029032152,46,150,0.028409020987423404,340,1115,12,4,Forest,67,23.04
40.37182585580464,-79.38578651821602,53,175,0.033143858088349215,341,1119,14,20,Forest,67,26.61
40.371758529967444,-79.38580274611027,61,200,0.037878695267191405,343,1125,16,349,Forest,79,27.94
40.37169120413135,-79.38581897400425,69,225,0.04261353252284783,345,1132,15,350,Forest,79,28.08
40.371623878296354,-79.38583520189796,76,250,0.047348369855801827,348,1142,13,353,Forest,79,27.77
40.37155655246246,-79.38585142979142,84,275,0.05208320726570518,350,1148,14,355,Forest,79,27.42
40.371489226629656,-79.3858676576846,91,300,0.05681804475290596,352,1155,15,354,Forest,81,27.17
40.371421900797955,-79.38588388557751,99,325,0.06155288231692069,354,1161,15,350,Forest,81,27.04
40.37135457496735,-79.38590011347017,107,350,0.06628771995836796,356,1168,15,352,Forest,81,27.85
40.37128724913784,-79.38591634136256,114,375,0.07102255767662904,358,1175,18,351,Forest,81,31.47
40.37121992330943,-79.38593256925469,122,400,0.07575739547232252,361,1184,21,350,Forest,83,34.4
40.37115259748212,-79.38594879714657,130,425,0.08049223334496491,363,1191,19,352,Forest,83,31.21
40.37108527165591,-79.38596502503817,137,450,0.08522707129490432,365,1198,18,350,Forest,83,33.4
40.371017945830786,-79.38598125292951,145,475,0.08996190932214064,368,1207,18,346,Forest,83,30.79
40.37095062000676,-79.38599748082058,152,500,0.09469674742667382,370,1214,18,345,Forest,84,29.27
40.37088329418384,-79.38601370871139,160,525,0.09943158560767223,372,1220,17,347,Forest,85,27.98
40.37081596836201,-79.38602993660194,168,550,0.10416642386658602,374,1227,15,349,Forest,85,25.27
40.37074864254128,-79.38604616449223,175,575,0.10890126220231305,376,1234,14,350,Forest,85,24.92
40.370681316721644,-79.38606239238226,183,600,0.1136361006154719,378,1240,14,345,Forest,85,23.49
40.3706139909031,-79.386078620272,190,625,0.11837093910579198,380,1247,16,341,Forest,85,26.17
40.37054666508566,-79.38609484816149,198,650,0.12310577767306034,382,1253,16,346,Forest,85,29.3
40.370479339269316,-79.38611107605071,206,675,0.12784061631762506,384,1260,14,219,Forest,85,23.45
40.37041201345407,-79.38612730393967,213,700,0.13257545503913792,386,1266,13,35,Forest,85,21.4
40.37034468763993,-79.38614353182837,221,725,0.13731029383746357,388,1273,11,190,Forest,85,18.99
40.37027736182688,-79.38615975971679,229,750,0.14204513271308536,389,1276,12,252,Forest,85,20.35
40.370210036014925,-79.38617598760496,236,775,0.1467799716661385,391,1283,12,189,Forest,84,22.71
40.370142710204064,-79.38619221549285,244,800,0.1515148106964876,393,1289,11,44,Forest,84,21.26
40.3700753843943,-79.38620844338048,251,825,0.1562496498041326,394,1293,11,224,Forest,84,22.87
40.37000805858564,-79.38622467126785,259,850,0.16098448898824194,396,1299,12,101,Forest,84,19.09
40.369940732778076,-79.38624089915496,267,875,0.16571932824964708,397,1302,11,295,Forest,84,21.89
40.36987340697161,-79.3862571270418,274,900,0.17045416758848314,399,1309,9,352,Forest,84,18.18
40.36980771288799,-79.386279215334,282,925,0.17514499201278805,400,1312,7,352,Forest,84,7.13
40.36974827976974,-79.3863237901727,289,950,0.1798798306499665,401,1316,6,348,Forest,84,5.78
40.369688846657944,-79.38636836500655,297,975,0.18461466980031424,401,1316,5,354,Forest,85,7.36
40.369640140992296,-79.38642819039944,305,999,0.1892288018120762,402,1319,4,131,Forest,85,7.15
40.36960155258211,-79.38650239888055,312,1024,0.19396363949745538,402,1319,4,8,Forest,85,7.34
40.369562964179465,-79.38657660734717,320,1049,0.1986984781074146,403,1322,4,15,Forest,85,6.3
40.36952518920993,-79.38665147188402,327,1074,0.20343061689308936,403,1322,4,17,Forest,85,1.89
40.369492181822764,-79.38673018180725,335,1099,0.2081654538080716,404,1325,4,23,Forest,86,7.5
40.36945917444181,-79.38680889171569,343,1124,0.21290029161267168,404,1325,6,25,Forest,86,8.44
40.36942616706705,-79.38688760160933,350,1149,0.2176351303073615,405,1329,6,35,Forest,88,14.04
40.36939065857071,-79.38696401214393,358,1174,0.22235191245137695,406,1332,7,46,Forest,88,12.14
40.3693455821969,-79.38703162670465,365,1199,0.2270867509449224,407,1335,8,44,Forest,88,16.15
40.36930050583163,-79.38709924125256,373,1224,0.2318215903346257,408,1339,8,47,Forest,87,10.25
40.36924090850969,-79.3870589304129,381,1249,0.23645915921632712,409,1342,8,50,Forest,87,6.49
40.36917273021659,-79.38705090943725,388,1274,0.2411939985905852,409,1342,7,55,Forest,87,5.36
40.36910455192377,-79.38704288846162,396,1299,0.24592883798379384,410,1345,9,53,Forest,87,11.56
40.36903788396334,-79.38705579351374,403,1323,0.2505901811068423,411,1348,9,54,Forest,87,15.8
40.36897206598488,-79.38708047525567,411,1348,0.255325020368857,412,1352,13,53,Forest,87,18.13
40.36890827431844,-79.38711074854143,418,1373,0.2600170948411799,413,1355,14,57,Forest,87,19.56
40.36885215440121,-79.3871621917989,426,1398,0.2647519336402868,415,1362,14,61,Forest,87,23.7
40.368796019723234,-79.38721360712582,434,1423,0.26948676833074076,416,1365,14,64,Forest,87,19.34
40.36873969081166,-79.38726465520193,441,1448,0.2742216047857305,418,1371,12,73,Forest,87,17.67
40.368683361907685,-79.38731570327116,449,1473,0.2789564418791277,419,1375,10,83,Forest,87,11.14
40.36862703301131,-79.3873667513335,457,1498,0.28369127961176105,420,1378,9,96,Forest,88,7.21
