Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.31826680867249,-79.47413071707236,0,0,0.0,352,1155,4,333,Forest,54,6.93
40.31821757069476,-79.47419308403352,8,25,0.004734834365148033,353,1158,5,211,Forest,54,7.17
40.318168332725705,-79.47425545098369,15,50,0.009469669562882612,353,1158,5,236,Forest,76,2.25
40.318119094765315,-79.4743178179229,23,75,0.014204505593722458,353,1158,5,331,Forest,80,-0.19
40.31806985681358,-79.47438018485113,30,100,0.018939342458372692,354,1161,6,328,Forest,80,3.41
40.31802061887052,-79.47444255176838,38,125,0.02367418015525012,354,1161,6,326,Forest,80,2.02
40.31797138093613,-79.47450491867465,46,150,0.028409018685227005,354,1161,6,322,Forest,80,1.61
40.31792214301039,-79.47456728556996,53,175,0.03314385804900846,354,1161,5,320,Forest,80,1.5
40.317868802946506,-79.47462352419228,61,200,0.03787780632573977,354,1161,5,318,Forest,80,0.13
40.31781527622609,-79.47467948394545,69,225,0.0426126441553917,354,1161,5,320,Forest,80,0.59
40.31776174951392,-79.47473544369001,76,250,0.04734748271453478,354,1161,5,316,Forest,80,3.52
40.31770822280998,-79.47479140342593,84,275,0.05208232200261745,355,1165,5,313,Forest,80,5.3
40.31764633169349,-79.47482862309681,91,300,0.05679195485236781,355,1165,5,311,Forest,80,0.0
40.31758292240963,-79.47486244138153,99,325,0.06152679408842054,355,1165,5,306,Forest,76,1.61
40.317528911772875,-79.47491313864262,106,349,0.06612097609918995,355,1165,6,311,Forest,76,-0.32
40.31748505062323,-79.47498206330636,114,374,0.07085581394844576,355,1165,6,309,Forest,79,-2.22
40.31744118948198,-79.47505098795688,122,399,0.07559065270359601,355,1165,8,305,Forest,79,4.06
40.31739777047187,-79.47512038254688,129,424,0.08032508919346792,355,1165,6,322,Forest,79,2.02
40.31734459581125,-79.4751736027925,137,449,0.08495187091875903,355,1165,6,311,Forest,83,2.34
40.31728357513067,-79.4752142832462,144,474,0.08968670971711158,356,1168,5,316,Forest,83,3.73
40.31722255445577,-79.47525496369614,152,499,0.0944215489544652,356,1168,5,315,Forest,83,5.55
40.3171575542948,-79.47525981303075,159,522,0.09892491700169787,356,1168,4,309,Forest,83,8.04
40.317090220781125,-79.47524365298747,167,547,0.1036597562421566,357,1171,4,307,Forest,80,7.42
40.317022887268536,-79.47522749294444,174,572,0.10839459555934622,357,1171,5,311,Forest,80,3.84
40.31695555375703,-79.47521133290168,182,597,0.11312943495299681,358,1175,5,309,Forest,80,7.18
40.316890227438705,-79.47518471160869,190,622,0.11786119993581567,358,1175,4,302,Forest,80,3.97
40.31682508156178,-79.47515714989153,197,647,0.12259603888912944,359,1178,3,307,Forest,81,7.48
40.31675993568781,-79.47512958817562,205,672,0.12733087805819152,359,1178,4,311,Forest,81,7.88
40.31669478981681,-79.47510202646096,213,697,0.13206571744253387,360,1181,5,306,Forest,81,8.31
40.31663007809681,-79.47507276277128,220,722,0.13680048158153066,360,1181,4,307,Forest,81,3.71
40.316565772693885,-79.47505790405894,227,746,0.14131703102590207,360,1181,3,311,Forest,82,0.49
40.3165027428481,-79.47509292063994,235,771,0.14605187035778136,361,1184,3,297,Forest,82,0.11
40.31643957460719,-79.47512750475971,243,796,0.15078669313995957,361,1184,3,290,Forest,82,2.09
40.316379126055274,-79.47516502518218,250,821,0.15541258960658072,361,1184,3,295,Forest,82,-2.54
40.31636390402491,-79.47525255185678,258,846,0.16014742821050867,361,1184,4,298,Forest,82,-4.41
40.316348681996175,-79.475340078522,265,871,0.16488226732102443,360,1181,4,301,Forest,82,-5.55
40.31632160727156,-79.475420097192,273,895,0.1694994343683207,360,1181,3,298,Forest,82,-5.55
40.31627879790404,-79.47549014888432,280,920,0.17423427339103778,360,1181,5,295,Forest,82,-3.74
40.316235988550304,-79.47556020055404,288,945,0.17896911271535929,359,1178,5,290,Forest,82,-6.3
40.316209341061224,-79.47564230628572,296,970,0.1836754585973105,359,1178,4,289,Forest,81,-7.46
40.31618532214674,-79.4757263724864,303,995,0.1884102969114612,358,1175,4,285,Forest,81,-6.46
40.316161303236,-79.47581043867397,311,1020,0.19314513596364802,358,1175,5,286,Forest,81,-10.76
40.31614999999999,-79.47589752673001,318,1044,0.19780436811118793,357,1171,5,292,Forest,81,-5.98
40.31614999999999,-79.47598730100219,326,1069,0.20253920751134732,356,1168,6,294,Forest,86,-9.58
40.31614999999999,-79.47607707527438,334,1094,0.20727404691150675,356,1168,6,288,Forest,86,-12.73
40.31614999999999,-79.47616684954656,341,1119,0.21200888631166614,355,1165,6,285,Forest,86,-14.14
40.31614214416727,-79.47625454947726,349,1144,0.216666131172052,354,1161,8,282,Forest,86,-13.63
40.31611565466788,-79.47633732916286,356,1169,0.22140096921105368,353,1158,7,282,Forest,85,-13.21
40.31608916517291,-79.47642010883465,364,1194,0.22613580803933628,352,1155,10,298,Forest,85,-9.82
40.31607896789127,-79.47650185923497,371,1217,0.23050477381467768,351,1152,14,295,Forest,85,-9.9
40.31611140161341,-79.47658091643268,379,1242,0.23523961643870397,350,1148,13,326,Forest,85,-13.56
