Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.32132609109632,-79.47231006004868,0,0,0.0,335,1099,0,125,brick,23,0.01
40.321323606303466,-79.47239978202828,8,25,0.0047348392737394905,335,1099,1,126,brick,23,-0.01
40.32132112151066,-79.47248950400622,15,50,0.009469678634535976,334,1096,1,91,brick,23,-1.32
40.32132691655637,-79.47257841589462,23,75,0.014175777517578644,334,1096,3,274,brick,58,-8.1
40.32133952305209,-79.47266666136463,30,100,0.018910617272657217,334,1096,6,274,brick,58,-5.64
40.32134136019576,-79.47275007977161,38,123,0.023311734870881305,333,1093,4,294,brick,58,-5.07
40.32129021431234,-79.47280974996895,45,148,0.02804657400391243,333,1093,9,156,brick,58,-4.15
40.32130065599887,-79.4728769936027,51,167,0.031665643780964065,333,1093,8,144,brick,67,-3.6
40.321342454223085,-79.47294809317059,59,192,0.036400484886341074,333,1093,4,155,brick,67,-1.12
40.32138425245542,-79.47301919275229,66,217,0.04113532507285011,332,1089,3,122,brick,67,0.08
40.32141603055745,-79.47309190832766,73,241,0.045555468893242516,332,1089,2,261,brick,67,0.45
40.32138860962702,-79.47317417111896,81,266,0.05029030774585725,332,1089,3,348,brick,67,0.44
40.32137169202057,-79.4732587643497,88,290,0.0549024665317325,332,1089,2,243,brick,0,0.27
40.32137695762015,-79.47334827954269,96,315,0.05963730603796936,332,1089,4,17,brick,0,0.13
40.321389541757064,-79.47343578158902,104,340,0.06433332533779168,333,1093,6,25,brick,0,0.72
40.321412140995264,-79.47352052873225,111,365,0.06906816623330866,333,1093,8,117,brick,0,2.06
40.32143474023684,-79.47360527588812,119,390,0.07380300642254996,333,1093,8,21,brick,0,-1.19
40.32145733948177,-79.47369002305663,126,415,0.07853784590573498,333,1093,9,26,brick,0,-3.04
40.32151194643521,-79.47374040278294,134,439,0.08315588772169194,332,1089,6,29,brick,0,-6.6
40.32157066908758,-79.47378653527007,141,464,0.0878906434538447,332,1089,1,73,brick,0,-4.78
40.321629818124755,-79.47383168590892,149,489,0.09262446822458667,332,1089,0,41,brick,0,-1.72
40.3216896826727,-79.47387522376197,157,514,0.09735930779211607,332,1089,0,0,brick,0,-0.13
40.32175418378857,-79.47387737606041,164,538,0.10182233177518425,331,1086,0,0,brick,0,0.51
40.32179239423364,-79.47381732450705,171,559,0.10594728492766231,331,1086,0,0,brick,0,0.49
40.32181257995041,-79.47373153521075,178,584,0.11068212445358201,331,1086,0,0,brick,0,0.38
40.32186083512987,-79.47368115301698,185,607,0.11494837516720863,332,1089,0,4,brick,35,0.86
40.32192540569282,-79.4736513512187,193,632,0.11968321466192763,332,1089,1,152,brick,35,6.69
40.32195611154015,-79.47358499613863,199,654,0.12377671467930541,332,1089,5,254,brick,35,9.81
40.321999683625464,-79.47356587345018,204,670,0.1269548675018177,332,1089,7,230,brick,35,-0.71
40.32205118070277,-79.47362294661784,212,695,0.13161831546271285,332,1089,6,241,brick,35,1.21
40.322106776738536,-79.47367115697439,219,719,0.13622839868361764,332,1089,6,249,brick,51,-1.44
40.32217201561689,-79.47369833984037,227,744,0.14096323817344866,332,1089,6,228,brick,51,-2.21
40.32223908912713,-79.47371,234,769,0.1456433258932718,332,1089,6,294,brick,51,-1.11
40.32230754075178,-79.47371,242,794,0.15037816529323758,332,1089,6,288,brick,51,0.82
40.32237511939874,-79.4736983023781,250,819,0.15509315086090447,332,1089,7,229,brick,0,1.24
40.32244227174933,-79.47368089250944,257,844,0.1598279904691407,332,1089,7,287,brick,0,-5.21
40.32250942410117,-79.47366348264043,265,869,0.1645628299886229,332,1089,5,272,brick,0,-0.93
