Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
40.320906351023226,-79.471532381182,0,0,0.0,336,1102,3,276,asphalt,0,0.0
40.32084403857627,-79.47149521935947,8,25,0.004734837828559834,336,1102,3,277,asphalt,0,0.0
40.32078172613424,-79.47145805753988,15,50,0.009469676031152216,336,1102,3,279,asphalt,0,2.95
40.32071941369715,-79.47142089572321,23,75,0.014204514608086794,336,1102,3,283,asphalt,0,5.26
40.32065710126497,-79.47138373390949,30,100,0.018939353559947605,336,1102,3,281,asphalt,0,4.59
40.320594788837724,-79.4713465720987,38,125,0.02367419288614948,336,1102,3,279,Forest,0,2.07
40.32052979923036,-79.47135959442733,45,149,0.028221720349959074,336,1102,5,259,Forest,0,-4.25
40.320471122229236,-79.47140414552595,53,174,0.032911453178785,336,1102,6,237,Forest,68,-7.35
40.32041240579829,-79.47144766426972,60,198,0.03757652277849099,336,1102,5,242,Forest,68,-5.73
40.320359295372995,-79.47145934382272,66,218,0.04130148290095048,335,1099,4,247,Forest,68,-7.25
40.32031224091394,-79.47150393108711,73,239,0.045316825936064925,335,1099,3,293,Forest,68,-3.21
40.32025831904631,-79.47152570157334,79,260,0.04921934944541119,335,1099,3,336,Forest,68,6.14
40.32020852821316,-79.47156813855965,86,282,0.05332671712969442,335,1099,6,323,Forest,80,3.32
40.32015289013596,-79.47162012861521,93,307,0.05805207184307634,335,1099,6,271,Forest,80,1.63
40.32009035608074,-79.47159903134715,101,330,0.06251839771841694,335,1099,5,252,Forest,80,-6.7
40.32002773183842,-79.47162248381913,108,354,0.06702327350713766,335,1099,5,249,Forest,80,-6.07
40.31997024320519,-79.47161678818554,114,375,0.07101112524951123,335,1099,4,268,Forest,84,4.79
40.31992707868201,-79.47155215378282,122,399,0.07554256446368085,335,1099,7,298,Forest,84,8.21
40.31991595656434,-79.47146513514359,129,423,0.0801958474223751,336,1102,7,335,Forest,80,9.85
40.319868299953676,-79.47140881806553,136,447,0.08463295417676318,336,1102,6,182,Forest,80,4.42
40.319808342576515,-79.47143571589811,143,470,0.08901613759685172,336,1102,5,267,Forest,80,1.48
40.319743297401004,-79.47144327685884,151,494,0.09353298677297592,337,1106,3,268,Forest,80,8.3
40.31972021401667,-79.4713665985818,158,517,0.0978807126903467,337,1106,3,307,Forest,80,10.64
40.319683468584785,-79.47129344886199,165,541,0.10250057354658336,338,1109,6,284,Forest,83,5.61
40.319661872039795,-79.47121102513063,172,565,0.10709702914407097,339,1112,7,301,Forest,83,6.48
40.319613445423826,-79.47115096528242,180,590,0.11170717698562951,339,1112,6,287,Forest,83,10.2
40.31958238043487,-79.47107096481486,187,615,0.11644198372335295,340,1115,6,274,Forest,85,12.4
40.31956037177092,-79.47098626893475,195,640,0.1211610509151304,341,1119,5,248,Forest,85,8.41
40.31954067260017,-79.4709002914399,203,665,0.12589572456059311,341,1119,7,228,Forest,85,-4.28
40.319499507764114,-79.47093351293749,208,682,0.12923898729848876,341,1119,7,235,Forest,85,-9.8
40.31944532430763,-79.47098644158395,216,707,0.13391217751522097,340,1115,9,286,Forest,86,-3.95
40.31938730353775,-79.47103395474272,223,732,0.13864354676818533,340,1115,9,325,Forest,86,6.22
40.3193300658738,-79.4710831946684,231,757,0.14337838606372816,341,1119,7,317,Forest,86,3.81
40.31929480081898,-79.47115398521265,238,781,0.1478380635813793,341,1119,5,302,Forest,84,-1.15
40.31922998127514,-79.47118284106647,246,806,0.15257290289432887,341,1119,4,287,Forest,84,-2.94
40.31917621451302,-79.47123441936299,253,830,0.15718061716687892,340,1115,5,281,Forest,85,-6.24
40.31912028902231,-79.47126883204027,260,852,0.1614535988732071,340,1115,5,255,Forest,85,-3.1
40.31905737183444,-79.47124474021604,267,876,0.16598730154065458,340,1115,5,271,Forest,85,5.23
40.31900669631826,-79.47118438561634,275,901,0.1707221409322367,340,1115,6,280,Forest,85,2.35
40.318953810768775,-79.47124009930145,282,926,0.1754142108049864,340,1115,5,275,Forest,85,-0.2
40.31888880780502,-79.47125762390388,290,950,0.18000451259669292,340,1115,5,264,Forest,85,-4.31
40.31882221951671,-79.47124211172795,297,975,0.18468255516153345,340,1115,6,261,Forest,85,0.47
40.318756866426966,-79.47121540633798,305,1000,0.18941739447423908,340,1115,6,256,Forest,85,-4.64
40.31871758468402,-79.471252913401,310,1018,0.19277831171685,340,1115,6,258,Forest,85,-4.23
40.318665316267285,-79.47127053377191,316,1038,0.19651126900863625,340,1115,6,241,Forest,86,0.91
